A00-1001	187
A83-1030	3369
A83-1031	622;6904;397;597;631;1778;2337;2339;4386;2888;3215
A83-1032	5396;8137
A83-1033	3922
A88-1001	835
A88-1002	3186;4219;1114
A88-1003	6836;10392
A88-1004	15185
A88-1005	706
A88-1006	5362;5457
A88-1007	4533;3324
A88-1008	3528
A88-1009	2909;6365
A88-1010	2909;1323
A88-1011	8431;1763
A88-1012	5852;954;6879
A88-1013	5401
A88-1014	2424;6024;73;2194;5198
A88-1015	7042;6945;6119
A88-1016	2131;5223
A88-1017	1686
A88-1018	6735;3674
A88-1019	1379
A88-1020	14848;6743;7064
A88-1021	3726;641
A88-1022	8500;4571
A88-1023	2651
A88-1024	7668
A88-1025	3868;7446
A88-1026	8941;6836
A88-1027	6843;804
A88-1028	6167;5051;2187;8226
A88-1029	157
A88-1030	2084
A88-1031	7603
A88-1032	485;3346
A88-1033	5892
A88-1034	8896;431
A92-1001	6746;171
A92-1002	7628;3313;622
A92-1003	4582;5075;7820
A92-1004	348;1689;2364
A92-1005	364;2686;2706;7027
A92-1006	6707;4309
A92-1007	4038
A92-1008	8753
A92-1009	6793;5430;4723
A92-1010	1886;461;8156;8211
A92-1011	7151;6576
A92-1012	1499
A92-1013	455;6335;8527
A92-1014	7370;1052;202;8313
A92-1015	8613
A92-1016	67;14766;287;297;13196;5191;7168;8403
A92-1017	4041;2001;3284;4408
A92-1018	1617;4445;6348;7529
A92-1019	6325;5227
A92-1020	1173;8301;4033;1278;1236;1276;4894
A92-1021	846
A92-1022	2909;5058;7788
A92-1023	713;463
A92-1024	205;3186;8788;3489;7259;5946
A92-1025	3674
A92-1026	3346;251;485;8359
A92-1027	5362
A92-1028	5784;3577
A92-1029	779;703;7034
A92-1030	6301;7221;3812
A92-1031	8876;278;13467
A92-1032	2252;2595;2936
A92-1033	2943;7001
A92-1034	4597
A92-1035	1037;5947
A92-1036	5457
A92-1037	4454;5765;7194;5730
A92-1038	8282;3227;5277;895
A92-1039	2158
A92-1040	5372;2449;2721;630;3229;9183
A92-1041	2011
A92-1042	7464;6155
A92-1043	8807
A92-1044	64;13103;13893;6858;6828;14215;14447;8544
A92-1045	5947;7439;1435;1542;2873;5395
A92-1046	8604
A92-1047	1057
A94-1001	979;4309
A94-1002	5384;4417;7435
A94-1003	7529;7715
A94-1004	5806
A94-1005	12658;94
A94-1006	1633;1379
A94-1007	6113;5731
A94-1008	8060;8616
A94-1009	2120
A94-1010	1057
A94-1011	2335
A94-1012	4186;8313
A94-1013	6230;3204
A94-1014	2803;3504;7349
A94-1015	2326
A94-1016	2453;5947
A94-1017	6095;7894;2534;3567;3297
A94-1018	3971
A94-1019	3677
A94-1020	442;1760
A94-1021	2698;8756;1407
A94-1022	463;691;3593;7747
A94-1023	1314;5373;1258
A94-1024	6060;4458
A94-1025	7729
A94-1026	6110
A94-1027	3662;8224
A94-1028	7838
A94-1029	455;2910;6335
A94-1030	8948;14920
A94-1031	3392;3503
A94-1032	3577;7501;9151;729;6133
A94-1033	3392;3503
A94-1034	1779;7129;9402
A94-1035	6073;729;3577
A94-1036	14281
A94-1037	6060;2994
A94-1038	98;2534;3567
A94-1039	256;3577;8316;4280
A94-1040	725
A94-1041	1426;1693
A94-1042	6304;6838;7055
A94-1043	3315;5993;5788
A94-1044	15185;7763
A94-1045	965
A94-1046	14146
A94-1047	4185;2789;4118;6524
A97-1001	5634;1968;821;2643;2833;1291
A97-1002	8749;2195;6399;5208
A97-1003	2640;9256;91
A97-1004	6820;6731
A97-1005	1439;3785;5371;6184;6495;7621;1253;1423
A97-1006	942;1787;1861;1901;4202;7261
A97-1007	133;6796;5086
A97-1008	7628
A97-1009	3702;13845
A97-1010	4658;1235
A97-1011	8060;3714
A97-1012	92;1186
A97-1013	8616;15153
A97-1014	7597;4366;818;8409
A97-1015	7370
A97-1016	8149;1421
A97-1017	13467;13523
A97-1018	7904;14316;3453
A97-1019	7279;3067
A97-1020	5869;3944;6305;14146;6943
A97-1021	1955
A97-1022	3372;13692;6505
A97-1023	6120
A97-1024	579
A97-1025	3798;5218
A97-1026	936;8905;4974;3920
A97-1027	7729;5912;362;7081;1751
A97-1028	6230;1710
A97-1029	628;5511;7326;8792
A97-1030	8620;6743;1339
A97-1031	14010;354;476;499;823
A97-1032	3527;1964
A97-1033	6676;5384
A97-1034	5381;839;8179
A97-1035	1607;3508;2552;8850
A97-1036	9239;1075;7429
A97-1037	4585;6707;6793
A97-1038	8816;979
A97-1039	4585;6707
A97-1040	7664;657;5970;4497;5715;2719;2112;6918
A97-1041	5384;3803;6240;7435;148
A97-1042	11923;14986
A97-1043	2513;7935;2514
A97-1044	7838;4832;6385;8673
A97-1045	9350;8054
A97-1046	11301
A97-1047	8342
A97-1048	9035;5731;13621;7198;1928;7491
A97-1049	246;1197;2835
A97-1050	6811;5424
A97-1051	1710;22;3324;4345;6896;8574
A97-1052	850;14832
A97-1053	8413;5286
A97-1054	5495;2335
A97-1055	1594;8527
A97-1056	6350;881;15336
A97-2001	2717;8547
A97-2002	15208
A97-2003	942
A97-2004	363;14834
A97-2005	3714;8060
A97-2006	13263;254;5560;8217
A97-2007	2194;1179;4654;7472;8924;9255
A97-2008	12645
A97-2010	4831
A97-2011	6843
A97-2012	8749
A97-2013	387;1951;6820;5969;407
A97-2014	6284;15155;8728
A97-2015	357;2066;8332
A97-2016	7597;4366;818;8409
A97-2017	1607;3508;2552;8850
A97-2018	14246
A97-2019	1635;6001;790;4761
A97-2020	463;692
A97-2021	2195;8749;6434
C00-1001	58;67;125;14766;287;290;297;2786;5191;7168;8403
C00-1002	147;5614;6486
C00-1003	227;1651
C00-1004	305;5286
C00-1005	328;8409
C00-1006	389;8031
C00-1007	407;6707
C00-1008	425;4080
C00-1009	13011;7140
C00-1010	695
C00-1011	695
C00-1012	707;5852
C00-1013	708;2468;3605;4363;7077;7589
C00-1014	729;6213
C00-1015	748
C00-1016	13053
C00-1017	818;1572
C00-1018	862
C00-1019	877
C00-1020	884
C00-1021	14822;13468;7401
C00-1022	1119
C00-1023	1188;2035
C00-1024	1235;4830
C00-1025	1235;8290;8288
C00-1026	1247;1223
C00-1027	1379
C00-1028	1383;3779
C00-1029	1404;15329
C00-1030	1458;5976;8313
C00-1031	1570;3561;5174;7962
C00-1032	13202
C00-1033	15397;6573
C00-1034	1793
C00-1035	1757
C00-1036	2037;5017;6718
C00-1037	2047;4349
C00-1038	2083
C00-1039	2203;3677
C00-1040	3028;6933
C00-1041	13468;1117
C00-1042	14957;6060;8338
C00-1043	3104;15152;5092
C00-1044	3167;15336
C00-1045	3253;1274;6516
C00-1046	3315;6137;9177
C00-1047	3330;5971;8313
C00-1048	14983;2727;1632
C00-1049	3527;5831
C00-1050	3558;7096;4140;3315
C00-1051	3602;3600
C00-1052	3779;6881
C00-1053	3785
C00-1054	3785;407
C00-1055	3795;7033
C00-1056	3833;3391;6205
C00-1057	3845;853;7930
C00-1058	3848;8311;14761
C00-1059	3856;5662;95;9061
C00-1060	3894;8252;5552;8313
C00-1061	3904;4092
C00-1062	3921;8768
C00-1063	3988;3857;4454
C00-1064	4123;9160;7670
C00-1065	4159
C00-1066	4232;7384
C00-1067	4271;5925
C00-1068	4277;3989
C00-1069	4384;8093;461;4385;7595;7427;7654;3130;7762;3085
C00-1070	4644;8313;6862
C00-1071	4697
C00-1072	11923;14986
C00-1073	4875;4008;7577;8643
C00-1074	5033;5734;8364;3615
C00-1075	5109;6483
C00-1076	5174
C00-1077	5325;202
C00-1078	5473;4318;2909
C00-1079	5627;4628
C00-1080	5642
C00-1081	5654;5954;3649;6067;8731
C00-1082	5734;8364;5033;3615
C00-1083	5797;3586;6078
C00-1084	5977;7092;5793
C00-1085	6164
C00-2086	6284;1331
C00-2087	6391
C00-2088	6496
C00-2089	6497;5594;6603
C00-2090	6501;2534
C00-2091	6518
C00-2092	6570
C00-2093	6573
C00-2094	6592;6857;6946
C00-2095	6663
C00-2096	6712;7400
C00-2097	6746;3350;3690;820;14939;2643
C00-2098	7026
C00-2099	7135
C00-2100	7174;9263
C00-2101	7182;5289
C00-2102	7185;8413
C00-2103	7248
C00-2104	7249;5384
C00-2105	7263;7302
C00-2106	7275
C00-2107	7296;1016
C00-2108	7302
C00-2109	7370;8364;3615
C00-2110	7370
C00-2111	7389;716
C00-2112	7400;6712
C00-2113	7483
C00-2114	7530;5525;7620
C00-2115	7539;5393
C00-2116	7692;6563;1198
C00-2117	7748;2218;4268
C00-2118	7794;5451
C00-2119	7930;853;3845
C00-2120	8093;8743;6378
C00-2121	8136;2218;4268
C00-2122	8196;4463
C00-2123	8202;5893
C00-2124	8215;1632;1793;4248;4388;6629;6980
C00-2125	8300
C00-2126	8364;5734;5033;7370;3615
C00-2127	8372;6098;4341;5563
C00-2128	8410;5734;3615
C00-2129	8410;3151
C00-2130	8567;6516
C00-2131	8731;4454;257
C00-2132	8731
C00-2133	8908;958
C00-2134	9035;9459;5520
C00-2135	9051;5286
C00-2136	9108;2909;8060;3536
C00-2137	9130
C00-2138	9160;4132;7670
C00-2139	15407
C00-2140	9256;8631
C00-2141	9358
C00-2142	199;5411;9239
C00-2143	708;2903;2902;4363;2468
C00-2144	977
C00-2145	1029
C00-2146	1129;4617
C00-2147	1546;4989;5596;5947
C00-2148	1666;4162;15155
C00-2149	2037;8101
C00-2150	2108;320;8829
C00-2151	2414;5442;6542;7294
C00-2152	2444;3404;1994;2054;4301;8363
C00-2153	3233;5747
C00-2154	3367;2453
C00-2155	4068;4369;7537
C00-2156	4088;4617
C00-2157	4290;4741
C00-2158	4989;9227
C00-2159	11982;2380;3982;6410
C00-2160	6114
C00-2161	5856;2431
C00-2162	5931;5893
C00-2163	6051;5893
C00-2164	6776;2777
C00-2165	7050;4104;6862;4820
C00-2166	7248
C00-2167	7370;2161
C00-2168	7450;5947
C00-2169	7712;4196;11674
C00-2170	12839;10961;1153;4502;4997;4231;1147;1287
C00-2171	8194;965
C00-2172	8602;5893
C00-2173	8639;6418;278
C00-2174	8951;3470;9398
C00-2175	9130
C02-1001	7606;1025;781;2012
C02-1002	15300
C02-1003	15044;4771;9334;9098
C02-1004	8604
C02-1005	8499
C02-1006	1266;1235
C02-1007	6722
C02-1008	4979;1305;4621
C02-1009	4406;7858
C02-1010	8692;9357;3461;3453
C02-1011	1012;4749
C02-1012	7902;2585;9294;9357;3453
C02-1013	14832;850
C02-1014	13196;5327;7168
C02-1015	7435
C02-1016	4287
C02-1017	6319;7894;9055
C02-1018	5655
C02-1019	4648;3699;7384
C02-1020	7190;7092
C02-1021	4470;6120
C02-1022	3399
C02-1023	8419
C02-1024	7301
C02-1025	1307;5896
C02-1026	11923
C02-1027	8042;5549
C02-1028	1739
C02-1029	7263
C02-1030	7401;710
C02-1031	9086;461
C02-1032	13371;6051;5893;1068
C02-1033	2312
C02-1034	3109;4025
C02-1035	14834
C02-1036	2573;6870;9319;5634;1525
C02-1037	106;108
C02-1038	7792
C02-1039	5490
C02-1040	7174;8277
C02-1041	116;1274;3134;4425;4921;5804;5904;6686;8065;8214;8845
C02-1042	14986;3257;11923;6742
C02-1043	999
C02-1044	9077;4033
C02-1045	14761
C02-1046	4623;4092
C02-1047	9411;2679
C02-1048	3971;5294;5063
C02-1049	1247;5035
C02-1050	8735;7894
C02-1051	9071;2507;9170;94
C02-1052	729;8509
C02-1053	3317;3634;5063;5286
C02-1054	3634;4004
C02-1055	5006;7904;12839
C02-1056	9316;9052
C02-1057	9110;9357;9334;9197;4771
C02-1058	3856;5662
C02-1059	2525;8224;8031
C02-1060	5033;9297;5734;9357;3615
C02-1061	7320;4494;6605
C02-1062	2026;6519
C02-1063	5414
C02-1064	8364;7370;3615
C02-1065	8035
C02-1066	3680;2431;8885
C02-1067	759;6099
C02-1068	534
C02-1069	7155;8919
C02-1070	6861;7225;9113
C02-1071	5184
C02-1072	4135;1170;9274
C02-1073	7083;6676;8130;4510
C02-1074	4232;7384
C02-1075	4068;4369;6592
C02-1076	103;8735;7894
C02-1077	402;6164
C02-1078	7365;2493;3623
C02-1079	3400;7635
C02-1080	9126;1366;4892
C02-1081	6555
C02-1082	5802;9459;6113
C02-1083	5519;202;12055;8313
C02-1084	4187;4454;4067
C02-1085	2513;7935
C02-1086	4638;3848;1338
C02-1087	8807;3510
C02-1088	4100;3904;1338
C02-1089	8287;3438
C02-1090	6356;7742
C02-1091	3242;5451;6425;7274
C02-1092	7471;9088
C02-1093	499;2439
C02-1094	317;4200
C02-1095	759
C02-1096	434;5277;8282
C02-1097	6077;1338
C02-1098	5764;6082;9156
C02-1099	6077;1338
C02-1100	5944;5561;8313
C02-1101	5782;5286
C02-1102	5143
C02-1103	4232;6283;7384
C02-1104	391;653;8475
C02-1105	4792;6628
C02-1106	5454
C02-1107	5281;4143;3986;9046;3588
C02-1108	7263
C02-1109	7014
C02-1110	6127;2162;2446;308;4806
C02-1111	2396;4590
C02-1112	5233;67;13842
C02-1113	2545;4271;7827
C02-1114	8833;1954
C02-1115	14407;6235
C02-1116	4316;1781
C02-1117	2999;7530;5525;7620
C02-1118	9263
C02-1119	7931;7182;5063
C02-1120	8252
C02-1121	7248
C02-1122	3988;4454
C02-1123	4620;6284
C02-1124	4605;889
C02-1125	3330;5971
C02-1126	1296;628
C02-1127	4753;7731;5966;4777
C02-1128	2037
C02-1129	455;6335;9246
C02-1130	2370;14986
C02-1131	5708;8383
C02-1132	2722
C02-1133	7379;7495
C02-1134	407;5735;6832
C02-1135	12599;2734
C02-1136	5281;5732;3986;3588
C02-1137	3755;3171
C02-1138	1244;407;6707;8643
C02-1139	5900;1023
C02-1140	629;389;8031
C02-1141	1674;2088
C02-1142	6294;954;707
C02-1143	1666;1294;15155;1319
C02-1144	4831;6250
C02-1145	9021;1319;15155
C02-1146	8293;7794;5451
C02-1147	1817
C02-1148	6363;3471;7318;1120
C02-1149	8038;3604;7993
C02-1150	4786;6980
C02-1151	6980;9141
C02-1152	4277;3989;3645;6116
C02-1153	6614
C02-1154	9108;4850;2909
C02-1155	8144;4701
C02-1156	1177;5823;6428
C02-1157	5654
C02-1158	13263;254;5602;8217
C02-1159	116;1274;3134;4425;4921;5804;6686;8065;8214;8845
C02-1160	6479;7610
C02-1161	9411;6726
C02-1162	5901;1044;14920
C02-1163	9052
C02-1164	5785;12439;8735
C02-1165	3536;9108;2909
C02-1166	1793;2637;7066
C02-1167	15109;6010
C02-1168	1188;2035
C02-1169	3104;15109;6460
C02-1170	13032
C02-2001	4503;8684;3437
C02-2002	8942;6372;3747
C02-2003	2444;5496
C02-2004	6387
C02-2005	4177;7835
C02-2006	8731;5764;5352;579
C02-2007	4911;12878;9201
C02-2008	3294;5764
C02-2009	7366;3106
C02-2010	3768;3023;4530
C02-2011	1726;233;5577
C02-2012	7935;2513;7367
C02-2013	8960;3438
C02-2014	14146;5832;4173
C02-2015	14146;4173
C02-2016	571
C02-2017	4198;6626;8282
C02-2018	15185;4440
C02-2019	8364;5976;9036;7370;3615
C02-2020	1298;9417
C02-2021	429;2750;4641;8647
C02-2022	965;8194
C02-2023	350;1045;3882;4116;6239;7122;7211
C02-2024	5944;5100;8313
C02-2025	6059;8259;7463;5147;2376;818
C02-2026	6707;407;948;5829;7727
C02-2027	7763
C02-2028	9306;9003;9398
C04-1001	1905
C04-1002	7185
C04-1003	7597
C04-1004	12482
C04-1005	8951;8665
C04-1006	9264;5301;5893
C04-1007	7719;4561
C04-1008	5710;8055
C04-1009	489
C04-1010	5970;7285
C04-1011	5848;7201
C04-1012	2508
C04-1013	1397;8161
C04-1014	12482
C04-1015	3586;6111;8735;7894
C04-1016	344;2107;3130
C04-1017	1929;7894
C04-1018	828;1023
C04-1019	6036;3092;4909;5399
C04-1020	8902;2713
C04-1021	6545;276;2185;4229;9122
C04-1022	2009;4165
C04-1023	7379;7583;6114
C04-1024	7263
C04-1025	1670;10481
C04-1026	1781;2000;4271;4410;7633;8138
C04-1027	4792;6628
C04-1028	4384;385
C04-1029	7597;8387;3071
C04-1030	9264;5893;8735;7894
C04-1031	14462
C04-1032	5301;9264;5893
C04-1033	9100;7857;12482;8024
C04-1034	5837
C04-1035	12599;2734;4552
C04-1036	12480;1633
C04-1037	3526
C04-1038	1408;14243
C04-1039	5708
C04-1040	3634;4004;3317
C04-1041	1404;1610
C04-1042	8557;3175;13468
C04-1043	8266;759
C04-1044	730;2948;6391
C04-1045	5893;14138
C04-1046	668;2363;2411;2579;2850;4418;7143;8373
C04-1047	103;7894;5784;9055;6116
C04-1048	4592;23;3538
C04-1049	4271;4384
C04-1050	3988;4454
C04-1051	1933;6664;853
C04-1052	2459
C04-1053	558;2399;6449
C04-1054	7614;2276
C04-1055	7949;150;2722
C04-1056	7248
C04-1057	2324;3167
C04-1058	8948;5901;1044
C04-1059	9321;2052;8602
C04-1060	9281;2722
C04-1061	7763;3224
C04-1062	5927;2929;1104
C04-1063	5655;6013;303
C04-1064	3317;7931;3634;5063
C04-1065	199
C04-1066	305;5286
C04-1067	5782
C04-1068	9411;5201
C04-1069	9094;9791;8047
C04-1070	7088;1536
C04-1071	3894;5831;8731
C04-1072	11923;6051
C04-1073	8977;5352
C04-1074	7248
C04-1075	12482;7857
C04-1076	6489;8144
C04-1077	3317;2520;6114;5976;5818
C04-1078	8989;1366;1597
C04-1079	8654;5384
C04-1080	409;5634
C04-1081	6363;2281;5339
C04-1082	5829;13000;8603
C04-1083	1565;1746
C04-1084	3104
C04-1085	1119
C04-1086	629;8031
C04-1087	12055;202;5393
C04-1088	2573
C04-1089	7421;5896
C04-1090	4831
C04-1091	8371;2248;5095
C04-1092	6519
C04-1093	2493;3623
C04-1094	12951;2816;6354;14107;8544
C04-1095	7263;317
C04-1096	2525;8733;4452;8224
C04-1097	6870;2573;5634;6927;7610;1525
C04-1098	9292;7903;6652;7908
C04-1099	7014
C04-1100	5823;3104
C04-1101	1011;4780;8914;9210
C04-1102	6092;7368;9052
C04-1103	9297;4748;7857
C04-1104	3082;9334;6641;9197
C04-1105	3856
C04-1106	4697
C04-1107	5906;7475;3405;3344;2516
C04-1108	6109;5290;3629
C04-1109	9333;5473;2909
C04-1110	2983;7833
C04-1111	6250;6742;14986
C04-1112	2638
C04-1113	7228
C04-1114	2052;8602;8631
C04-1115	6356;4376;7742
C04-1116	5727;5831
C04-1117	7309;5195;7216;5987;3028
C04-1118	1029;2614;3057;174;5489
C04-1119	2840;12658;2072;8030
C04-1120	6819
C04-1121	2573
C04-1122	7496;7370
C04-1123	4036
C04-1124	8986;15185
C04-1125	2513;7935
C04-1126	7792
C04-1127	7873;7370;2909
C04-1128	7515;5384
C04-1129	7531;5865;5384
C04-1130	8697;5286
C04-1131	322
C04-1132	7500;9029
C04-1133	15180;3091;7029
C04-1134	14920;1218
C04-1135	7497;8252
C04-1136	2197
C04-1137	4287;1955
C04-1138	6565;7779;3566;3953;8097
C04-1139	15400;6144
C04-1140	3028;8806
C04-1141	8806;3028
C04-1142	8106;9101;5032
C04-1143	1653;8984;8850
C04-1144	7100;5266
C04-1145	9217;1157;4502;4480;12839
C04-1146	8771;15329;5343
C04-1147	8120;1405
C04-1148	5137;8152
C04-1149	8413;3310;4064;5781;7194
C04-1150	5839;8527;1594;5870
C04-1151	14920;1288
C04-1152	267;104;191;3918
C04-1153	4035;5159;2218;4268
C04-1154	2927;3203;8751
C04-1155	8911;10086;10415;9792
C04-1156	6449;558
C04-1157	5928
C04-1158	4277;5539;3989;6116
C04-1159	7502;8364;3989;3615
C04-1160	2272
C04-1161	720;357;467
C04-1162	5490;8063;2321
C04-1163	5075;7710;2740
C04-1164	9133;8947;1255;9204
C04-1165	3914;9049;5033;3615
C04-1166	13910
C04-1167	3902;4427;6585
C04-1168	9299;4078;12439;7682;8735;11931
C04-1169	755
C04-1170	538;7091
C04-1171	3399
C04-1172	6412
C04-1173	2636;3165;5710
C04-1174	7183;3988;4454
C04-1175	7691;1135
C04-1176	5267;7370;5780
C04-1177	5343;4248;8771;14832
C04-1178	619;7488;1338
C04-1179	4479;2370;14986
C04-1180	759;1404;7764;1610;3349
C04-1181	1775;7812
C04-1182	4634;3021;6935;5225;6358
C04-1183	4351;1222
C04-1184	6176;6676
C04-1185	2439
C04-1186	3010
C04-1187	9087;1366
C04-1188	3750;5726;14722
C04-1189	7607;7838;4903;7043;7117;7480;3912;4021;6876;8620
C04-1190	7860;1044;8948
C04-1191	6034;588;8888;122;1613;6251;7273;7116
C04-1192	15300;3606;3561
C04-1193	729;5916;2504;8035
C04-1194	2312
C04-1195	8518;7342;3185
C04-1196	6547;129;4246
C04-1197	6629;6980;9141;9384
C04-1198	1814;6931
C04-1199	5499;227
C04-1200	4125;14986
C04-1201	7660;6386;15111;8583;4959
C04-1202	8996;4786;12595;8991;8208;5858
C04-1203	7213;1125;1810;10645
C04-1204	5561;8313
C08-1001	9424;3600;5286
C08-1002	9423;6778;6724
C08-1003	67;13702
C08-1004	154
C08-1005	333;9340;8694
C08-1006	348;2364;7288
C08-1007	9491;1290
C08-1008	385
C08-1009	858;4550
C08-1010	9606;8907
C08-1011	946;8518
C08-1012	952;3028
C08-1013	989;1445;4550
C08-1014	1222;9297;9484;4748
C08-1015	1260;8965;3615
C08-1016	9660;9100;7857;8024
C08-1017	1290;9491;10
C08-1018	1445;4550
C08-1019	1483;1666
C08-1020	1586;589;9433;2376;13657
C08-1021	1592;6858
C08-1022	1730;6628
C08-1023	9676;9439;5218;11025
C08-1024	9766;8252;15017
C08-1025	9763
C08-1026	1869
C08-1027	2116
C08-1028	9875
C08-1029	2501;7194
C08-1030	2513;7935;11269
C08-1031	9892;10355
C08-1032	2606
C08-1033	2626;850
C08-1034	2746;2759
C08-1035	9935;10199
C08-1036	9935;10199
C08-1037	13425
C08-1038	2973;12888;8665
C08-1039	3016;7174
C08-1040	3156;2207;1564;6662;5607;1447;6676
C08-1041	10049;4900;4845
C08-1042	3201;5349;1195
C08-1043	3289
C08-1044	10097;7480;5780;7447
C08-1045	3577;11091;15120
C08-1046	10125;305;5286
C08-1047	10134
C08-1048	10140;9357
C08-1049	10141;10487;4900
C08-1050	3771;6016
C08-1051	3857;4183
C08-1052	3894;5831
C08-1053	3975;56
C08-1054	3988;4454
C08-1055	4053;15397;6875
C08-1056	10240;14662;13204
C08-1057	4310;4388;1458
C08-1058	4480;12839
C08-1059	10301;14283
C08-1060	4699;9917;1979;15162
C08-1061	10336;9303;11285;9377
C08-1062	4780;11212;4977;10047
C08-1063	10366;10353;1012;11923;10008;11290
C08-1064	4954
C08-1065	10394;1632
C08-1066	5039;5147
C08-1067	10398;4662;14983
C08-1068	5113;716;607
C08-1069	5296;8313
C08-1070	5332;1651
C08-1071	5349;1195;3779
C08-1072	10491;7301
C08-1073	10501;389;9706;10561
C08-1074	5634;6664
C08-1075	10531;14662;13097
C08-1076	5702;1350;457;2582
C08-1077	10562;9910;6676
C08-1078	5833;7806;1060
C08-1079	10598;4104
C08-1080	10602;14249;10521;13303;1739
C08-1081	5970;708;3605
C08-1082	12906;1499
C08-1083	6109;202;8313
C08-1084	12763;6369;7719
C08-1085	10670;14742
C08-1086	6250;11184
C08-1087	10763;6676
C08-1088	12145;12482;10246;14708;10765
C08-1089	10771;10084;11317
C08-1090	6746;779;3350;5799
C08-1091	6778;6724
C08-1092	10815
C08-1093	6857;4912;8507
C08-1094	6881;3378
C08-1095	7076;8313
C08-1096	7182;8181;9714;5393;202
C08-1097	7183;3988;4454
C08-1098	7263;10301
C08-1099	7301;9422;10491;10928
C08-1100	7480;3026;6064;8265;5780
C08-1101	7663;15336;10861
C08-1102	7792;2971;2552
C08-1103	7818;1023
C08-1104	11019;5194
C08-1105	11034;11022;8665
C08-1106	11036;10533;6108;8323;8313
C08-1107	7958;1633
C08-1108	8072;7733
C08-1109	8128;14848
C08-1110	11075;5384
C08-1111	8223;3600;5286
C08-1112	8294;15247
C08-1113	8307;10190;5654;10637;5286
C08-1114	8350
C08-1115	8373;11007;5301;13259;2411;4414;7381;9092
C08-1116	15398;10766;7299
C08-1117	8484
C08-1118	15400
C08-1119	8518;3100
C08-1120	8540;792;6144;9704
C08-1121	8552;5674;6516;9100
C08-1122	8655;8988
C08-1123	8754;4903
C08-1124	8914;8958;4780
C08-1125	8951;8665;9398
C08-1126	11247
C08-1127	9001;9297;9484;4748
C08-1128	9007;2585;8259;5893
C08-1129	9084;3209;10273
C08-1130	11273;4977;9334
C08-1131	11279;389
C08-1132	9203;3988;4454
C08-1133	9204;8947;14986
C08-1134	9208;4510
C08-1135	9233;14832
C08-1136	9281;2722;1296
C08-1137	11306;9398;10354
C08-1138	9297;10139;4748;9484;4771
C08-1139	11319;8751
C08-1140	11323;3200
C08-1141	9357;11194;10361;4766;9276;9334
C08-1142	9370;8671;14986
C08-1143	9370;8671;9112;12839
