A00-1001	4073
A92-1022	5511;8641;12614
A92-1023	11707;8051
A92-1024	4346;5921;14078;6355;11879;9920
A92-1025	6640
A92-1026	6144;5006;8376;13447
A92-1027	9062
A92-1028	9659;6488
A92-1029	12631;11562;11556
A92-1030	10436;11834;6839
A92-1031	14214;5364;2706
A92-1032	4603;5113;5547
A92-1033	5557;11505
A92-1034	7992
A92-1035	380;9922
A92-1036	9207
A92-1037	7787;9622;11790;9579
A92-1038	13323;5977;8941;14337
A92-1039	4480
A92-1040	9083;4908;5285;10452;5979;14662
A92-1041	4275
A92-1042	12163;10227
A92-1043	14109
A92-1044	10739;2544;2889;11286;11243;3049;3163;13705
A92-1045	9922;12126;3127;3622;5457;9110
A92-1046	13789
A92-1047	564
A94-1001	15371;7558
A94-1002	9095;7731;12120
A94-1003	12254;12518
A94-1004	9702
A94-1005	2381;15081
A94-1006	3751;2829
A94-1007	10170;9580
A94-1008	13013;13807
A94-1009	4433
A94-1010	564
A94-1011	4727
A94-1012	7391;13375
A94-1013	10333;5947
A94-1014	5377;6380;11999
A94-1015	4711
A94-1016	4912;9925
A94-1017	10147;12782;5029;6473;6078
A94-1018	7070
A94-1019	6645
A94-1020	7754;3915
A94-1021	5255;14036;2981
A94-1022	8051;11383;6511;12564
A94-1023	2558;9084;2358
A94-1024	10096;7795
A94-1025	12538
A94-1026	10167
A94-1027	6623;13235
A94-1028	12692
A94-1029	7938;5513;10491
A94-1030	14318;3359
A94-1031	6215;6379
A94-1032	6487;12217;14619;11936;10201
A94-1033	6215;6379
A94-1034	3936;11690;14977
A94-1035	10116;11936;6487
A94-1036	3094
A94-1037	10096;5632
A94-1038	15468;5029;6473
A94-1039	5081;6487;13385;7520
A94-1040	11881
A94-1041	3085;3842
A94-1042	10440;11254;11581
A94-1043	6107;9997;9663
A94-1044	3498;12584
A94-1045	15226
A94-1046	3017
A94-1047	7389;5363;7293;10779
A97-1001	9448;4203;13228;5183;5411;2462
A97-1002	14024;4531;10581;8864
A97-1003	5177;14770;14684
A97-1004	11235;11102
A97-1005	3140;6800;9082;10265;10731;12388;2346;3061
A97-1006	15013;3944;4049;4104;7417;11883
A97-1007	2681;11199;8683
A97-1008	12399
A97-1009	6674;2861
A97-1010	8079;2185
A97-1011	13012;6695
A97-1012	14836;1753
A97-1013	13807;3466
A97-1014	12347;7643;13187;13528
A97-1015	12028
A97-1016	13134;3051
A97-1017	2706;2735
A97-1018	12802;3115;6297
A97-1019	11907;5729
A97-1020	9805;7029;10441;3017;11420
A97-1021	4182
A97-1022	6191;2798;10745
A97-1023	10184
A97-1024	9687
A97-1025	6821;8875
A97-1026	14933;14260;8532;6990
A97-1027	12539;9869;6579;11622;3904
A97-1028	10332;3864
A97-1029	10407;9278;11969;14085
A97-1030	13812;11119;2680
A97-1031	2953;6450;8243;8561;13259
A97-1032	6412;4197
A97-1033	11013;9095
A97-1034	9091;13510;13170
A97-1035	3714;6386;5058;14181
A97-1036	14740;723;12113
A97-1037	7974;11054;11195
A97-1038	14122;15371
A97-1039	7974;11054
A97-1040	12441;10878;9962;7848;9561;5283;4421;11381
A97-1041	9095;6827;10343;12120;3352
A97-1042	1807;3396
A97-1043	4997;12846;4998
A97-1044	12690;8338;10561;13905
A97-1045	14908;13001
A97-1046	1244
A97-1047	13426
A97-1048	14448;9580;2778;11798;4142;12203
A97-1049	4936;1850;5413
A97-1050	11221;9156
A97-1051	3864;4673;6120;7606;11351;13749
A97-1052	13653;3322
A97-1053	13540;8952
A97-1054	9257;4726
A97-1055	3694;13682
A97-1056	10509;14130;3564
A97-2001	5280;13709
A97-2002	3506
A97-2003	15013
A97-2004	6593;3324
A97-2005	6695;13012
A97-2006	2611;5054;9354;13225
A97-2007	4529;1681;8071;12174;14286;14769
A97-2008	2375
A97-2010	8335
A97-2011	11261
A97-2012	14024
A97-2013	6929;4176;11235;9960;7231
A97-2014	10403;3472;13995
A97-2015	6492;4353;13412
A97-2016	12347;7643;13187;13528
A97-2017	3714;6386;5058;14181
A97-2018	3072
A97-2019	3758;10011;12808;8234
A97-2020	8051;11398
A97-2021	4531;14024;10628
C00-1001	9849;11206;2368;3295;5466;5512;5606;5361;8840;11743;13516
C00-1002	3305;9419;10717
C00-1003	4649;3781
C00-1004	5721;8952
C00-1005	6067;13528
C00-1006	6960;12974
C00-1007	7230;11053
C00-1008	7496;7233
C00-1009	2507;11708
C00-1010	11444
C00-1011	11446
C00-1012	11619;9779
C00-1013	11633;4931;6536;7639;11612;12336
C00-1014	11936;10304
C00-1015	12202
C00-1016	2528
C00-1017	13187;3663
C00-1018	13830
C00-1019	14068
C00-1020	14175
C00-1021	3312;2711;12081
C00-1022	1129
C00-1023	1769;4309
C00-1024	2185;8331
C00-1025	2185;13342;13335
C00-1026	2311;2079
C00-1027	2830
C00-1028	2853;6785
C00-1029	2968;3560
C00-1030	3226;9974;13376
C00-1031	3660;6467;8810;12878
C00-1032	2588
C00-1033	3600;10868
C00-1034	3952
C00-1035	3908
C00-1036	4313;8586;11076
C00-1037	4328;7612
C00-1038	4385
C00-1039	4546;6644
C00-1040	5684;11403
C00-1041	2711;1105
C00-1042	3373;10096;13419
C00-1043	5790;3465;8693
C00-1044	5892;3564
C00-1045	6017;2407;10759
C00-1046	6107;10205;14655
C00-1047	6127;9968;13376
C00-1048	3393;5293;3750
C00-1049	6410;9742
C00-1050	6461;11650;7325;6107
C00-1051	6532;6525
C00-1052	6785;11331
C00-1053	6798
C00-1054	6798;7230
C00-1055	6814;11554
C00-1056	6865;6214;10292
C00-1057	6876;13700;12841
C00-1058	6879;13369;3293
C00-1059	6892;9493;15173;14491
C00-1060	6953;13284;9341;13379
C00-1061	6967;7254
C00-1062	6991;14051
C00-1063	7093;6895;7787
C00-1064	7302;14633;12451
C00-1065	7346
C00-1066	7455;12049
C00-1067	7509;9888
C00-1068	7516;7096
C00-1069	7669;13063;8019;7673;12344;12110;12427;5836;12580;5761
C00-1070	8061;13376;11296
C00-1071	8130
C00-1072	1807;3396
C00-1073	8399;7128;12321;13856
C00-1074	8605;9583;13457;6551
C00-1075	8715;10713
C00-1076	8810
C00-1077	9013;4300
C00-1078	9227;7566;5511
C00-1079	9437;8034
C00-1080	9465
C00-1081	9479;9935;6605;10109;14000
C00-1082	9583;13457;8605;6551
C00-1083	9680;6500;10122
C00-1084	9975;11644;9672
C00-1085	10238
C00-2086	10402;2641
C00-2087	10572
C00-2088	10733
C00-2089	10735;9396;10912
C00-2090	10741;5031
C00-2091	10766
C00-2092	10863
C00-2093	10868
C00-2094	10897;11285;11427
C00-2095	11000
C00-2096	11066;12080
C00-2097	11125;6154;6662;13212;3366;5183
C00-2098	11540
C00-2099	11700
C00-2100	11760;14782
C00-2101	11772;8957
C00-2102	11777;13541
C00-2103	11863
C00-2104	11864;9095
C00-2105	11885;11942
C00-2106	11903
C00-2107	11930;168
C00-2108	11942
C00-2109	12028;13457;6551
C00-2110	12028
C00-2111	12057;11746
C00-2112	12080;11066
C00-2113	12192
C00-2114	12258;9301;12387
C00-2115	12275;9107
C00-2116	12483;10854;1859
C00-2117	12565;4563;7504
C00-2118	12624;9197
C00-2119	12841;13700;6876
C00-2120	13064;14018;10553
C00-2121	13116;4563;7504
C00-2122	13196;7801
C00-2123	13203;9837
C00-2124	13222;3750;3952;7475;7681;10954;11476
C00-2125	13356
C00-2126	13457;9583;8605;12028;6551
C00-2127	13473;10150;7601;9358
C00-2128	13533;9583;6551
C00-2129	13533;5866
C00-2130	13739;10759
C00-2131	14000;7787;5094
C00-2132	14000
C00-2133	14266;15163
C00-2134	14448;15037;9293
C00-2135	14474;8952
C00-2136	14553;5511;13011;6425
C00-2137	14592
C00-2138	14631;7315;12451
C00-2139	3612
C00-2140	14770;13833
C00-2141	14919
C00-2142	4256;9134;14740
C00-2143	11633;5504;5503;7639;4931
C00-2144	15348
C00-2145	304
C00-2146	1240;8016
C00-2147	3626;8548;9398;9925
C00-2148	3806;7353;3472
C00-2149	4313;13071
C00-2150	4414;5957;14145
C00-2151	4853;9186;10815;11928
C00-2152	4901;6235;4245;4336;7548;13456
C00-2153	5984;9600
C00-2154	6184;4913
C00-2155	7213;7646;12273
C00-2156	7249;8016
C00-2157	7532;8202
C00-2158	8548;14720
C00-2159	1852;4799;7087;10597
C00-2160	10172
C00-2161	9786;4878
C00-2162	9901;9837
C00-2163	10078;9837
C00-2164	11170;5353
C00-2165	11574;7272;11296;8322
C00-2166	11863
C00-2167	12028;4484
C00-2168	12143;9925
C00-2169	12515;7405;1575
C00-2170	2433;914;1463;7855;8558;7453;1407;2440
C00-2171	13192;15224
C00-2172	13785;9837
C00-2173	13848;10609;5364
C00-2174	14323;6325;14972
C00-2175	14592
C02-1001	12366;261;12663;4276
C02-1002	3550
C02-1003	3415;8247;14892;14537
C02-1004	13790
C02-1005	13634
C02-1006	2385;2185
C02-1007	11086
C02-1008	8539;2530;8024
C02-1009	7710;12729
C02-1010	13932;14916;6311;6295
C02-1011	128;8215
C02-1012	12800;5102;14820;14916;6295
C02-1013	3322;13653
C02-1014	2583;9015;11743
C02-1015	12122
C02-1016	7529
C02-1017	10467;12785;14482
C02-1018	9481
C02-1019	8065;6670;12049
C02-1020	11785;11644
C02-1021	7810;10181
C02-1022	6225
C02-1023	13546
C02-1024	11940
C02-1025	2534;9843
C02-1026	1807
C02-1027	12986;9335
C02-1028	3892
C02-1029	11885
C02-1030	12081;11666
C02-1031	14520;8019
C02-1032	2673;10078;9837;653
C02-1033	4692
C02-1034	5800;7160
C02-1035	3325
C02-1036	5085;11312;14871;9447;3529
C02-1037	663;856
C02-1038	12620
C02-1039	9250
C02-1040	11760;13316
C02-1041	1600;2404;5842;7748;8471;9698;9859;11026;13019;13220;14170
C02-1042	3396;6026;1807;11118
C02-1043	15559
C02-1044	14508;7171
C02-1045	3292
C02-1046	8026;7254
C02-1047	14988;5228
C02-1048	7071;8965;8648
C02-1049	2311;8611
C02-1050	14005;12785
C02-1051	14501;4989;14646;15080
C02-1052	11936;13652
C02-1053	6109;6585;8648;8952
C02-1054	6585;7124
C02-1055	8571;12802;2433
C02-1056	14866;14477
C02-1057	14557;14916;14892;14679;8247
C02-1058	6892;9493
C02-1059	5019;13235;12974
C02-1060	8605;14826;9583;14916;6551
C02-1061	11963;7843;10914
C02-1062	4292;10769
C02-1063	9139
C02-1064	13457;12028;6551
C02-1065	12977
C02-1066	6651;4878;14225
C02-1067	12352;10151
C02-1068	9045
C02-1069	11727;14280
C02-1070	11295;11838;14563
C02-1071	8832
C02-1072	7318;1607;14794
C02-1073	11625;11014;13106;7866
C02-1074	7455;12049
C02-1075	7213;7646;10895
C02-1076	401;14004;12785
C02-1077	7165;10237
C02-1078	12019;4967;6567
C02-1079	6229;12409
C02-1080	14585;2791;8425
C02-1081	10841
C02-1082	9693;15037;10170
C02-1083	9290;4301;1922;13376
C02-1084	7392;7791;7212
C02-1085	4997;12846
C02-1086	8047;6879;2676
C02-1087	14110;6389
C02-1088	7268;6967;2676
C02-1089	13333;6276
C02-1090	10518;12559
C02-1091	5997;9197;10618;11900
C02-1092	12173;14524
C02-1093	8561;4887
C02-1094	5911;7415
C02-1095	12352
C02-1096	7614;8941;13326
C02-1097	10120;2676
C02-1098	9620;10129;14625
C02-1099	10120;2676
C02-1100	9918;9356;13377
C02-1101	9652;8952
C02-1102	8775
C02-1103	7455;10401;12049
C02-1104	6988;10810;13608
C02-1105	8281;10948
C02-1106	9203
C02-1107	8945;7328;7091;14463;6504
C02-1108	11885
C02-1109	11522
C02-1110	10192;4487;4903;5768;8301
C02-1111	4820;7981
C02-1112	8893;11206;2858
C02-1113	5045;7509;12674
C02-1114	14152;4179
C02-1115	3147;10338
C02-1116	7564;3938
C02-1117	5638;12258;9301;12387
C02-1118	14782
C02-1119	12842;11772;8648
C02-1120	13280
C02-1121	11863
C02-1122	7095;7791
C02-1123	8023;10402
C02-1124	8002;14252
C02-1125	6127;9968
C02-1126	2479;10410
C02-1127	8222;12545;9952;8254
C02-1128	4313
C02-1129	7938;10491;14755
C02-1130	4783;3396
C02-1131	9551;13487
C02-1132	5287
C02-1133	12040;12207
C02-1134	7230;9587;11247
C02-1135	2364;5300
C02-1136	8945;9581;7091;6504
C02-1137	6750;5900
C02-1138	2283;7230;11055;13856
C02-1139	9852;241
C02-1140	10426;6959;12974
C02-1141	3815;4391
C02-1142	10418;15125;11619
C02-1143	3806;2472;3472;2585
C02-1144	8334;10360
C02-1145	14433;2585;3472
C02-1146	13344;12624;9197
C02-1147	3997
C02-1148	10529;6326;11961;1144
C02-1149	12981;6535;12917
C02-1150	8273;11476
C02-1151	11476;14608
C02-1152	7516;7096;6601;10175
C02-1153	10929
C02-1154	14553;8362;5511
C02-1155	13128;8140
C02-1156	1667;9726;10621
C02-1157	9479
C02-1158	2612;5053;9405;13226
C02-1159	1600;2404;5842;7748;8471;9698;11026;13019;13220;14170
C02-1160	10705;12371
C02-1161	14988;11095
C02-1162	9855;445;3360
C02-1163	14477
C02-1164	9660;2268;14004
C02-1165	6426;14553;5511
C02-1166	3953;5172;11594
C02-1167	3444;10022
C02-1168	1769;4309
C02-1169	5793;3444;10673
C02-1170	2514
C02-2001	7857;13920;6275
C02-2002	14308;10548;6739
C02-2003	4899;9258
C02-2004	10565
C02-2005	7374;12687
C02-2006	14000;9620;9049;9687
C02-2007	8454;2439;14688
C02-2008	6072;9620
C02-2009	12020;5795
C02-2010	6770;5677;7892
C02-2011	3883;4735;9374
C02-2012	12846;4997;12021
C02-2013	14339;6276
C02-2014	3017;9743;7369
C02-2015	3017;7369
C02-2016	9565
C02-2017	7409;10942;13326
C02-2018	3496;7770
C02-2019	13457;9973;14449;12028;6551
C02-2020	2489;14998
C02-2021	7543;5319;8055;13866
C02-2022	15224;13193
C02-2023	6388;453;6933;7291;10341;11683;11818
C02-2024	9918;8706;13377
C02-2025	10091;13292;12160;8780;4791;13186
C02-2026	11058;7230;15067;9737;12534
C02-2027	12582
C02-2028	14847;14401;14972
C04-1001	4110
C04-1002	11777
C04-1003	12346
C04-1004	2315
C04-1005	14325;13895
C04-1006	14783;8980;9837
C04-1007	12524;7941
C04-1008	9557;13003
C04-1009	8433
C04-1010	9966;11914
C04-1011	9769;11804
C04-1012	4990
C04-1013	2931;13147
C04-1014	2315
C04-1015	6499;10168;14004;12785
C04-1016	6291;4413;5838
C04-1017	4143;12785
C04-1018	13340;241
C04-1019	10056;5774;8449;9117
C04-1020	14257;5275
C04-1021	10818;5343;4514;7450;14580
C04-1022	4272;7359
C04-1023	12040;12328;10173
C04-1024	11885
C04-1025	3811;470
C04-1026	3938;4263;7509;7715;12407;13118
C04-1027	8281;10948
C04-1028	7672;6899
C04-1029	12346;13491;5738
C04-1030	14783;9837;14004;12785
C04-1031	3170
C04-1032	8980;14783;9837
C04-1033	14541;12725;2315;12958
C04-1034	9750
C04-1035	2364;5300;7927
C04-1036	2313;3752
C04-1037	6409
C04-1038	2991;3067
C04-1039	9551
C04-1040	6585;7124;6109
C04-1041	2967;3719
C04-1042	13726;5905;2711
C04-1043	13301;12352
C04-1044	11952;5564;10572
C04-1045	9837;3009
C04-1046	11030;4770;4843;5093;5431;7735;11710;13476
C04-1047	402;12785;9656;14481;10175
C04-1048	7985;4826;6429
C04-1049	7509;7672
C04-1050	7095;7789
C04-1051	4149;11001;13700
C04-1052	4923
C04-1053	9392;4824;10649
C04-1054	12377;4642
C04-1055	12863;3437;5288
C04-1056	11863
C04-1057	4706;5892
C04-1058	14319;9854;445
C04-1059	14874;4334;13783
C04-1060	14803;5288
C04-1061	12582;5974
C04-1062	9890;5539;988
C04-1063	9481;10025;5695
C04-1064	6109;12842;6585;8648
C04-1065	4255
C04-1066	5721;8952
C04-1067	9654
C04-1068	14988;8858
C04-1069	14533;15360;12992
C04-1070	11630;3574
C04-1071	6953;9742;14000
C04-1072	1807;10080
C04-1073	14364;9049
C04-1074	11863
C04-1075	2315;12725
C04-1076	10720;13127
C04-1077	6109;5009;10173;9973;9719
C04-1078	14381;2791;3698
C04-1079	13879;9095
C04-1080	7265;9447
C04-1081	10528;4652;9030
C04-1082	9737;2502;13786
C04-1083	3650;3899
C04-1084	5789
C04-1085	1129
C04-1086	10426;12974
C04-1087	1920;4300;9107
C04-1088	5085
C04-1089	12103;9843
C04-1090	8334
C04-1091	13470;4597;8696
C04-1092	10770
C04-1093	4968;6569
C04-1094	2473;5390;10515;2999;13704
C04-1095	11885;5911
C04-1096	5019;14002;7785;13235
C04-1097	11312;5085;9447;11395;12371;3529
C04-1098	14818;12801;10983;12806
C04-1099	11524
C04-1100	9726;5793
C04-1101	114;8262;14276;14703
C04-1102	10143;12022;14478
C04-1103	14825;8214;12725
C04-1104	5754;14892;10972;14679
C04-1105	6893
C04-1106	8130
C04-1107	9863;12177;6237;6141;5002
C04-1108	10164;8960;6578
C04-1109	14891;9227;5511
C04-1110	5614;12683
C04-1111	10362;11118;3396
C04-1112	5173
C04-1113	11839
C04-1114	4334;13783;13833
C04-1115	10519;7655;12559
C04-1116	9574;9742
C04-1117	11951;8848;11824;9986;5685
C04-1118	304;5140;5717;3902;9247
C04-1119	5420;2380;4364;12971
C04-1120	11230
C04-1121	5085
C04-1122	12208;12028
C04-1123	7175
C04-1124	14378;3496
C04-1125	4997;12846
C04-1126	12621
C04-1127	12751;12028;5511
C04-1128	12232;9095
C04-1129	12260;9797;9095
C04-1130	13942;8952
C04-1131	5980
C04-1132	12216;14441
C04-1133	3490;5772;11543
C04-1134	3361;2040
C04-1135	12209;13280
C04-1136	4534
C04-1137	7528;4182
C04-1138	10856;12604;6472;7043;13067
C04-1139	3607;10216
C04-1140	5685;14108
C04-1141	14108;5685
C04-1142	13076;14542;8604
C04-1143	3788;14375;14181
C04-1144	11656;8926
C04-1145	14710;1499;7855;7825;2433
C04-1146	14058;3560;9036
C04-1147	13091;2973
C04-1148	8758;13137
C04-1149	13539;6098;7209;9651;11790
C04-1150	9753;13682;3694;9807
C04-1151	3362;2446
C04-1152	5230;488;4129;6986
C04-1153	7174;8792;4563;7504
C04-1154	5535;5946;14027
C04-1155	14271;83;418;15364
C04-1156	10649;9392
C04-1157	9892
C04-1158	7516;9320;7096;10175
C04-1159	12219;13459;7096;6557
C04-1160	4634
C04-1161	11816;6492;8106
C04-1162	9250;13017;4703
C04-1163	8668;12512;5307
C04-1164	14597;14316;2354;14693
C04-1165	6982;14469;8608;6557
C04-1166	2901
C04-1167	6964;7751;10885
C04-1168	14830;7226;2268;12467;14004;1815
C04-1169	12300
C04-1170	9102;11638
C04-1171	6225
C04-1172	10599
C04-1173	5169;5890;9556
C04-1174	11775;7095;7789
C04-1175	12482;1295
C04-1176	8927;12028;9648
C04-1177	9036;7478;14058;3322
C04-1178	10286;12199;2676
C04-1179	7822;4782;3396
C04-1180	12352;2967;12586;3719;6151
C04-1181	3930;12654
C04-1182	8042;5673;11407;8885;10522
C04-1183	7621;2072
C04-1184	10256;11014
C04-1185	4887
C04-1186	5659
C04-1187	14523;2791
C04-1188	6746;9573;3263
C04-1189	12367;12694;8441;11567;11674;12187;6979;7152;11322;13813
C04-1190	12734;445;14318
C04-1191	10053;9831;14234;2134;3722;10365;11898;11673
C04-1192	3550;6537;6467
C04-1193	11936;9873;4986;12977
C04-1194	4692
C04-1195	13665;11993;5920
C04-1196	10821;2499;7471
C04-1197	10953;11476;14608;14952
C04-1198	3994;11401
C04-1199	9261;4647
C04-1200	7304;3396
C04-1201	12434;10563;3446;13757;8514
C04-1202	14390;8272;2360;14384;13210;9789
C04-1203	11820;1196;3986;615
C04-1204	9356;13377
C08-1001	15007;6526;8952
C08-1002	15006;11172;11089
C08-1003	11206;2803
C08-1004	3630
C08-1005	6135;14899;13937
C08-1006	6359;4772;11919
C08-1007	15069;2458
C08-1008	6901
C08-1009	13768;7921
C08-1010	15180;14264
C08-1011	15049;13665
C08-1012	15106;5685
C08-1013	15466;3167;7921
C08-1014	2071;14825;15061;8214
C08-1015	2369;14348;6557
C08-1016	15227;14540;12725;12958
C08-1017	2458;15069;945
C08-1018	3167;7921
C08-1019	3327;3805
C08-1020	3684;9847;15018;4791;2783
C08-1021	3691;11287
C08-1022	3886;10948
C08-1023	15244;15022;8875;965
C08-1024	15335;13282;3406
C08-1025	15331
C08-1026	4058
C08-1027	4426
C08-1028	15438
C08-1029	4978;11791
C08-1030	4997;12846;1208
C08-1031	15457;360
C08-1032	5125
C08-1033	5154;13653
C08-1034	5314;5331
C08-1035	15502;195
C08-1036	15502;195
C08-1037	2694
C08-1038	5598;2443;13895
C08-1039	5665;11759
C08-1040	5875;4549;3649;10998;9411;3177;11014
C08-1041	47;8435;8355
C08-1042	5945;9042;1836
C08-1043	6065
C08-1044	93;12188;9648;12138
C08-1045	6489;1030;3449
C08-1046	122;5721;8952
C08-1047	133
C08-1048	141;14916
C08-1049	142;476;8435
C08-1050	6775;10029
C08-1051	6896;7383
C08-1052	6953;9742
C08-1053	7074;9543
C08-1054	7094;7787
C08-1055	7196;3599;11320
C08-1056	243;3249;2592
C08-1057	7560;7685;3224
C08-1058	7825;2433
C08-1059	309;3100
C08-1060	8135;15485;4221;3476
C08-1061	342;14843;1227;14943
C08-1062	8262;1148;8535;45
C08-1063	373;357;129;1806;5;1231
C08-1064	8507
C08-1065	395;3750
C08-1066	8616;8780
C08-1067	397;8084;3390
C08-1068	8720;11751;10125
C08-1069	8970;13381
C08-1070	9022;3781
C08-1071	9042;1836;6785
C08-1072	481;11939
C08-1073	491;6961;15277;543
C08-1074	9447;11001
C08-1075	517;3249;2541
C08-1076	9546;2727;7964;5099
C08-1077	544;15478;11014
C08-1078	9744;12645;590
C08-1079	579;7273
C08-1080	583;3074;507;2635;3893
C08-1081	9967;11634;6536
C08-1082	2454;3399
C08-1083	10164;4298;13379
C08-1084	2410;10539;12522
C08-1085	639;3280
C08-1086	10363;1109
C08-1087	728;11014
C08-1088	1998;2320;247;3256;729
C08-1089	735;81;1262
C08-1090	11131;12631;6154;9686
C08-1091	11172;11089
C08-1092	776
C08-1093	11283;8458;13648
C08-1094	11332;6197
C08-1095	11610;13379
C08-1096	11773;13174;15284;9108;4299
C08-1097	11775;7094;7787
C08-1098	11885;309
C08-1099	11939;15005;481;884
C08-1100	12188;5682;10106;13300;9648
C08-1101	12439;3566;825
C08-1102	12621;5596;5058
C08-1103	12661;241
C08-1104	956;8846
C08-1105	974;960;13895
C08-1106	976;520;10163;13400
C08-1107	12872;3752
C08-1108	13034;12551
C08-1109	13100;3329
C08-1110	1017;9095
C08-1111	13233;6526;8952
C08-1112	13345;3522
C08-1113	13362;189;9480;608;8952
C08-1114	13437
C08-1115	13475;949;8980;2607;4844;7725;12043;14530
C08-1116	3602;730;11934
C08-1117	13617
C08-1118	3606
C08-1119	13665;5785
C08-1120	13701;12839;10215;15275
C08-1121	13721;9512;10763;14540
C08-1122	13881;14380
C08-1123	14032;8441
C08-1124	14276;14335;8262
C08-1125	14325;13895;14972
C08-1126	1182
C08-1127	14399;14825;15061;8214
C08-1128	14406;5103;13291;9837
C08-1129	14518;5954;274
C08-1130	1214;8535;14892
C08-1131	1220;6961
C08-1132	14690;7094;7787
