paper_id	author_id	affiliation_id
W09-3910	406	8
P96-1040	506	8
P97-1048	506	8
W97-0304	506	8
W98-0719	506	8
P00-1038	563	8
P97-1048	563	8
W97-0304	563	8
H90-1015	649	8
H90-1085	649	8
H91-1086	649	8
L08-1102	654	8
N04-3010	654	8
N06-1030	654	8
N09-2038	654	8
P08-5002	654	8
W02-0711	654	8
E03-2001	712	8
H05-1029	712	8
N07-1035	712	8
N07-2003	712	8
W07-0305	712	8
W97-0410	852	8
H05-1103	873	8
C00-1019	877	8
C88-1021	877	8
C90-3008	877	8
C96-1030	877	8
H01-1002	877	8
H01-1066	877	8
N06-2011	877	8
P02-1052	877	8
W02-0711	877	8
W05-0813	877	8
J79-1076a	923	8
L08-1015	926	8
L08-1016	926	8
W99-0402	926	8
C86-1138	1020	8
C86-1149	1020	8
C88-1021	1020	8
C94-1013	1020	8
H89-2078	1020	8
H91-1023	1020	8
I08-1056	1020	8
J82-2002	1020	8
J83-3001	1020	8
L08-1581	1020	8
N06-2011	1020	8
N07-1041	1020	8
P79-1002	1020	8
P80-1004	1020	8
P81-1032	1020	8
P83-1025	1020	8
P84-1041	1020	8
P84-1089	1020	8
W00-0405	1020	8
W02-0106	1020	8
W04-0107	1020	8
W04-3251	1020	8
W05-0813	1020	8
W07-1315	1020	8
W08-0708	1020	8
W09-1908	1020	8
X98-1025	1020	8
W05-0208	1028	8
J91-3003	1042	8
P91-1002	1042	8
W94-0202	1042	8
P80-1043	1043	8
W04-3240	1066	8
W06-3406	1066	8
A00-2012	1100	8
W07-0811	1100	8
N06-2005	1199	8
N09-2038	1199	8
D08-1100	1345	8
W05-0404	1345	8
W97-0410	1400	8
A92-1045	1435	8
E93-1062	1435	8
D07-1022	1441	8
N09-1009	1441	8
P09-2001	1441	8
D08-1095	1442	8
D08-1099	1442	8
D09-1156	1442	8
H05-1056	1442	8
N06-2024	1442	8
N09-1054	1442	8
P08-1029	1442	8
P09-1050	1442	8
W04-3240	1442	8
W06-3315	1442	8
W06-3406	1442	8
W06-3801	1442	8
N04-1025	1465	8
N07-1058	1465	8
N07-1060	1465	8
W08-0909	1465	8
A92-1045	1542	8
E93-1062	1542	8
H93-1038	1542	8
H01-1037	1579	8
A00-3002	1621	8
H01-1006	1621	8
W02-1034	1621	8
W91-0202	1651	8
W07-0604	1699	8
C02-1147	1817	8
W97-0618	1817	8
C04-1059	2052	8
C04-1114	2052	8
L08-1487	2052	8
N07-2006	2052	8
N09-2038	2052	8
W04-3227	2052	8
W01-0503	2135	8
H05-1103	2171	8
N04-1028	2171	8
N07-1058	2171	8
N09-1071	2171	8
P08-5002	2171	8
W07-0305	2171	8
W08-0101	2171	8
W08-0909	2171	8
W08-0910	2171	8
W09-2106	2171	8
P96-1003	2189	8
W93-0109	2189	8
W96-0108	2189	8
N06-4009	2209	8
W07-2023	2209	8
N06-3003	2389	8
W07-0410	2389	8
C94-1012	2444	8
A94-1016	2453	8
C94-1019	2453	8
E93-1062	2453	8
H01-1002	2453	8
H93-1038	2453	8
H94-1026	2453	8
L08-1059	2453	8
L08-1102	2453	8
L08-1581	2453	8
N03-4010	2453	8
N03-4015	2453	8
N06-2002	2453	8
P81-1018	2453	8
W02-0106	2453	8
W02-0711	2453	8
W08-0410	2453	8
W97-0409	2453	8
C98-1064	2459	8
P98-1067	2459	8
N06-2002	2529	8
N06-2011	2581	8
H01-1071	2586	8
C96-1075	2630	8
E93-1019	2630	8
H01-1018	2630	8
N03-4015	2630	8
N06-1018	2630	8
N06-2002	2630	8
W00-0203	2630	8
W02-0703	2630	8
W02-0708	2630	8
W03-2118	2630	8
W97-0410	2630	8
A97-1003	2640	8
C96-1075	2640	8
P98-1075	2640	8
E06-3001	2691	8
C90-3021	2713	8
P90-1006	2713	8
W93-0109	2713	8
A92-1045	2873	8
E93-1062	2873	8
H93-1038	2873	8
N07-2003	2875	8
W98-0210	2878	8
W98-1403	2878	8
J94-3008	2978	8
W05-0208	2995	8
H01-1018	3078	8
N06-1018	3078	8
W07-0305	3126	8
C02-1137	3171	8
C86-1138	3171	8
H01-1011	3171	8
H90-1045	3171	8
H94-1044	3171	8
L08-1085	3171	8
P06-1133	3171	8
W06-2915	3171	8
H90-1063	3182	8
C86-1138	3186	8
J81-4002	3186	8
J83-3001	3186	8
P80-1019	3186	8
P80-1026	3186	8
P81-1032	3186	8
P81-1033	3186	8
P84-1047	3186	8
P84-1089	3186	8
N07-1058	3218	8
W08-0909	3218	8
W08-0910	3218	8
N06-2005	3280	8
P08-2020	3280	8
P08-2020	3298	8
W06-1626	3298	8
W09-0406	3298	8
W01-0503	3347	8
W97-0409	3367	8
H89-1016	3386	8
H89-2037	3386	8
H89-2038	3386	8
H90-1063	3386	8
H91-1050	3386	8
H92-1015	3386	8
H92-1033	3386	8
H92-1080	3386	8
H05-1055	3458	8
H05-1061	3458	8
N04-1036	3458	8
W03-1502	3458	8
H90-1063	3475	8
H91-1054	3475	8
H92-1015	3475	8
H92-1021	3475	8
H92-1034	3475	8
H92-1037	3475	8
H92-1080	3475	8
H93-1014	3475	8
H93-1016	3475	8
W03-0908	3477	8
N07-2003	3492	8
N07-2019	3492	8
P08-4005	3492	8
W08-0805	3492	8
P04-3018	3518	8
H89-1016	3543	8
H90-1063	3543	8
H92-1015	3543	8
H92-1034	3543	8
H92-1080	3543	8
H93-1016	3543	8
H92-1015	3636	8
H94-1039	3636	8
W05-0813	3704	8
P05-3026	3719	8
W02-0714	3754	8
C02-1137	3755	8
H01-1011	3755	8
N01-1031	3799	8
C94-1012	3805	8
N09-2010	3814	8
P07-2019	3814	8
P08-4007	3814	8
P09-2079	3814	8
H94-1044	3899	8
M92-1009	3983	8
M92-1026	3983	8
N07-2003	4034	8
W98-0210	4038	8
W05-0813	4099	8
C94-2173	4181	8
C90-2038	4182	8
C92-2121	4182	8
E89-1010	4182	8
P91-1004	4182	8
N07-1066	4230	8
P07-1099	4230	8
C04-1196	4246	8
N06-1030	4282	8
P86-1013	4325	8
N07-2003	4371	8
P85-1028	4417	8
P08-2022	4421	8
N07-2003	4429	8
N09-5002	4429	8
P07-1095	4493	8
P97-1048	4493	8
W97-0304	4493	8
N06-4009	4513	8
N07-1046	4528	8
N09-2038	4528	8
P07-1066	4528	8
H01-1007	4544	8
H01-1018	4544	8
W02-0703	4544	8
W03-2118	4544	8
C80-1026	4545	8
P82-1032	4545	8
W97-0410	4550	8
W02-0714	4563	8
C96-1075	4584	8
H01-1007	4584	8
H01-1018	4584	8
H05-1093	4584	8
L08-1581	4584	8
N03-4015	4584	8
N06-2033	4584	8
P05-1025	4584	8
P05-3026	4584	8
P06-2089	4584	8
P94-1045	4584	8
W00-0203	4584	8
W02-0703	4584	8
W03-2118	4584	8
W04-0107	4584	8
W05-0909	4584	8
W05-1513	4584	8
W07-0604	4584	8
W07-0734	4584	8
W07-0909	4584	8
W07-1315	4584	8
W08-0312	4584	8
W08-0324	4584	8
W08-0411	4584	8
W08-0708	4584	8
W09-0408	4584	8
W09-0425	4584	8
W09-2301	4584	8
W97-0303	4584	8
W97-0410	4584	8
W99-0306	4584	8
A92-1034	4597	8
H89-1016	4632	8
H89-2036	4632	8
H89-2037	4632	8
H89-2038	4632	8
H90-1063	4632	8
H90-1067	4632	8
H91-1050	4632	8
W94-0323	4665	8
C94-1057	4722	8
C96-1075	4722	8
C98-2180	4722	8
E89-1010	4722	8
H01-1018	4722	8
L08-1059	4722	8
L08-1581	4722	8
N03-4015	4722	8
N06-1018	4722	8
N06-2002	4722	8
P95-1005	4722	8
P98-2185	4722	8
W00-0203	4722	8
W02-0703	4722	8
W02-0708	4722	8
W03-2118	4722	8
W04-0107	4722	8
W04-2709	4722	8
W07-1315	4722	8
W08-0211	4722	8
W08-0410	4722	8
W08-0708	4722	8
W09-3012	4722	8
W97-0410	4722	8
W99-0306	4722	8
W06-1905	4834	8
L08-1085	4848	8
N06-3005	4848	8
P06-1133	4848	8
W02-2017	4848	8
W06-2915	4848	8
H05-1093	4873	8
P03-1020	4873	8
P04-3018	4873	8
W01-0503	4873	8
W04-3251	4873	8
H92-1015	4886	8
H92-1055	4886	8
H93-1014	4886	8
H94-1066	4886	8
H90-1046	4998	8
C04-1142	5032	8
P05-1025	5045	8
W05-0507	5045	8
W07-0603	5045	8
W07-0604	5045	8
W02-0708	5128	8
W94-0202	5260	8
H92-1015	5269	8
M92-1009	5308	8
M92-1026	5308	8
P84-1077	5308	8
C96-1075	5322	8
N01-1031	5322	8
W97-1008	5322	8
W99-0402	5322	8
T87-1016	5348	8
A92-1045	5395	8
D08-1095	5526	8
H05-1056	5526	8
N06-2024	5526	8
P07-1017	5526	8
W06-3801	5526	8
A00-2012	5542	8
C92-3168	5542	8
C92-4202	5542	8
C94-1012	5542	8
C94-1013	5542	8
D07-1003	5542	8
N04-4016	5542	8
P06-1054	5542	8
P07-1099	5542	8
W02-0106	5542	8
W04-2709	5542	8
W06-1905	5542	8
W09-3012	5542	8
L08-1581	5608	8
P04-2012	5608	8
W04-0107	5608	8
W07-1315	5608	8
W08-0708	5608	8
H94-1066	5645	8
H94-1044	5682	8
J81-4002	5688	8
P80-1026	5688	8
P08-1029	5815	8
W96-0407	5946	8
A92-1035	5947	8
A92-1045	5947	8
C88-2100	5947	8
C90-3039	5947	8
C94-1019	5947	8
C94-1057	5947	8
E93-1062	5947	8
H92-1052	5947	8
H93-1038	5947	8
H94-1026	5947	8
H94-1093	5947	8
J87-3007	5947	8
W90-0120	5947	8
N07-2033	5975	8
P08-2020	5975	8
C92-3168	6026	8
C92-4202	6026	8
C94-1012	6026	8
C94-1013	6026	8
D08-1099	6026	8
H01-1039	6026	8
N03-4010	6026	8
N04-4016	6026	8
N07-1066	6026	8
N09-3010	6026	8
P04-3018	6026	8
P07-1099	6026	8
W02-0106	6026	8
W03-0908	6026	8
W09-1903	6026	8
W00-0306	6075	8
H92-1055	6088	8
W91-0221	6140	8
W05-0208	6212	8
H01-1003	6242	8
W94-0204	6368	8
P91-1013	6388	8
L08-1581	6413	8
W08-0324	6413	8
H01-1018	6415	8
N04-3010	6415	8
W02-0703	6415	8
W03-2118	6415	8
W02-0708	6448	8
P00-1013	6476	8
H89-2021	6525	8
C04-1196	6547	8
C90-3097	6608	8
P02-1052	6611	8
W03-0414	6611	8
C96-1061	6653	8
N04-1028	6740	8
N07-2003	6740	8
P08-5002	6740	8
W07-0305	6740	8
W08-0101	6740	8
H89-1014	6761	8
H89-2064	6761	8
H90-1084	6761	8
H91-1085	6761	8
H92-1102	6761	8
H93-1084	6761	8
H94-1094	6761	8
W99-0306	6854	8
H05-1093	6917	8
N01-1003	6917	8
P01-1056	6917	8
P03-1050	6917	8
P04-3005	6917	8
H92-1021	6963	8
H92-1080	6963	8
H93-1016	6963	8
H94-1009	6963	8
H94-1013	6963	8
N04-4019	6963	8
W04-2315	6963	8
H94-1044	6983	8
J98-3004	6983	8
W98-0210	6983	8
P08-2020	6986	8
P00-1013	7006	8
W94-0323	7013	8
D08-1100	7017	8
H05-1029	7017	8
H89-1015	7017	8
H89-2021	7017	8
H90-1045	7017	8
H90-1046	7017	8
H93-1002	7017	8
H93-1074	7017	8
I08-1035	7017	8
N06-4003	7017	8
N07-2019	7017	8
P08-4005	7017	8
P09-2023	7017	8
W00-0306	7017	8
W00-0309	7017	8
W02-0711	7017	8
W06-3404	7017	8
W07-0305	7017	8
W08-0805	7017	8
W09-2813	7017	8
W09-3910	7017	8
W97-0409	7017	8
N06-2033	7076	8
P05-1025	7076	8
P06-1054	7076	8
P06-2089	7076	8
W05-1513	7076	8
N04-4016	7079	8
C90-3042	7092	8
H89-2021	7110	8
H01-1048	7276	8
H01-1018	7305	8
H01-1048	7305	8
L08-1102	7305	8
N03-2038	7305	8
N03-4015	7305	8
N04-3010	7305	8
N06-2005	7305	8
N07-2023	7305	8
N07-2033	7305	8
N09-2038	7305	8
P07-1066	7305	8
W02-0714	7305	8
A92-1045	7439	8
E93-1019	7439	8
W06-0138	7459	8
W06-1905	7473	8
D07-1003	7626	8
D07-1014	7626	8
D07-1022	7626	8
D08-1017	7626	8
D09-1023	7626	8
E09-1037	7626	8
J08-3007	7626	8
N09-1009	7626	8
N09-1027	7626	8
N09-1031	7626	8
N09-1054	7626	8
P07-1095	7626	8
P09-1039	7626	8
P09-1053	7626	8
P09-2001	7626	8
P09-2026	7626	8
W08-0212	7626	8
W08-0302	7626	8
W09-1801	7626	8
H89-2044	7789	8
H90-1001	7789	8
H90-1034	7789	8
H92-1015	7789	8
H92-1055	7789	8
H93-1014	7789	8
H94-1066	7789	8
H94-1082	7789	8
N04-3010	7876	8
H92-1055	7893	8
H94-1044	7948	8
P97-1068	7963	8
W97-0410	7963	8
P07-1066	8015	8
C04-1142	8106	8
P80-1043	8153	8
P99-1073	8165	8
P00-1013	8186	8
W99-0306	8189	8
C88-2137	8227	8
C92-2068	8227	8
E89-1010	8227	8
N06-2024	8230	8
C86-1138	8232	8
C86-1149	8232	8
C88-2096	8232	8
C88-2118	8232	8
C88-2137	8232	8
C88-2138	8232	8
C90-1012	8232	8
J87-1004	8232	8
P84-1073	8232	8
P88-1031	8232	8
N04-4019	8234	8
N07-2003	8234	8
W04-2315	8234	8
W96-0108	8245	8
P84-1102	8253	8
H01-1018	8274	8
N06-4009	8274	8
N07-3004	8274	8
W02-0714	8274	8
W07-2023	8274	8
W93-0109	8407	8
P07-1095	8418	8
C98-2165	8423	8
P98-2170	8423	8
P91-1004	8452	8
N06-2051	8536	8
N09-1027	8536	8
P03-1041	8536	8
W05-0836	8536	8
W06-3119	8536	8
C04-1059	8602	8
C04-1114	8602	8
E03-1050	8602	8
H05-1061	8602	8
I05-2048	8602	8
L08-1487	8602	8
N04-1036	8602	8
N06-2051	8602	8
N07-1046	8602	8
N07-2006	8602	8
N09-1027	8602	8
N09-2001	8602	8
N09-2038	8602	8
P03-1041	8602	8
P08-2020	8602	8
W03-0303	8602	8
W03-0315	8602	8
W03-1502	8602	8
W04-3227	8602	8
W05-0825	8602	8
W05-0829	8602	8
W06-1626	8602	8
W07-0410	8602	8
W07-0727	8602	8
W08-0303	8602	8
W08-0321	8602	8
W08-0509	8602	8
W09-0406	8602	8
A00-2025	8631	8
C00-2140	8631	8
C04-1114	8631	8
C96-1075	8631	8
C98-1072	8631	8
C98-2216	8631	8
C98-2232	8631	8
H01-1007	8631	8
H01-1048	8631	8
H01-1071	8631	8
H93-1035	8631	8
I05-3011	8631	8
L08-1487	8631	8
N04-1036	8631	8
N04-3010	8631	8
N07-2006	8631	8
N09-2038	8631	8
P03-1041	8631	8
P97-1047	8631	8
P98-1075	8631	8
P98-2221	8631	8
P98-2237	8631	8
W02-0714	8631	8
W03-0315	8631	8
W03-1502	8631	8
W05-0804	8631	8
W05-0836	8631	8
W93-0109	8631	8
W94-0113	8631	8
W97-0410	8631	8
H01-1018	8645	8
N03-4015	8645	8
W00-0203	8645	8
W02-0703	8645	8
W03-2118	8645	8
D07-1003	8679	8
P06-1054	8679	8
W06-0138	8679	8
W06-1905	8679	8
D08-1099	8685	8
D09-1156	8685	8
H05-1056	8685	8
N06-2024	8685	8
P09-1050	8685	8
C98-2216	8702	8
P94-1048	8702	8
P97-1047	8702	8
P98-2221	8702	8
P07-2019	8704	8
H89-1018	8720	8
H89-2007	8720	8
H90-1002	8720	8
H90-1027	8720	8
H91-1016	8720	8
H92-1007	8720	8
H92-1015	8720	8
H94-1039	8720	8
W00-0203	8735	8
H89-2037	8779	8
H92-1080	8779	8
D08-1017	8999	8
P06-2124	8999	8
P09-1039	8999	8
W05-0804	8999	8
W00-0309	9013	8
P09-1031	9087	8
H01-1071	9090	8
C04-1142	9101	8
P03-1050	9101	8
P04-3005	9101	8
H89-1017	9189	8
H91-1017	9189	8
H92-1015	9189	8
H01-1003	9200	8
N03-2038	9200	8
W05-0208	9236	8
A00-2025	9256	8
A97-1003	9256	8
C00-2140	9256	8
C96-2166	9256	8
C98-2231	9256	8
C98-2232	9256	8
P98-2236	9256	8
P98-2237	9256	8
W97-0410	9271	8
H01-1002	9311	8
H01-1071	9311	8
H05-1061	9311	8
W05-0829	9311	8
W06-1626	9311	8
C04-1059	9321	8
H05-1023	9321	8
I05-3011	9321	8
N07-1046	9321	8
P06-2124	9321	8
W03-0303	9321	8
W03-0315	9321	8
W04-3227	9321	8
W05-0804	9321	8
W05-0825	9321	8
N06-2051	9394	8
N09-1027	9394	8
W05-0836	9394	8
W06-3119	9394	8
I08-2115	9434	8
W09-2813	9434	8
I08-1068	9456	8
L08-1581	9456	8
W08-0324	9456	8
W08-0411	9456	8
W09-0425	9456	8
W09-1908	9456	8
P08-1029	9472	8
I08-2115	9473	8
N09-2010	9473	8
N09-3010	9473	8
W09-1903	9473	8
I08-2115	9490	8
N09-2037	9658	8
P08-4007	9658	8
P09-2026	9658	8
P08-2004	9666	8
W09-3708	9666	8
L08-1059	9692	8
W08-0410	9692	8
W09-0425	9692	8
D08-1017	9738	8
I08-1035	9738	8
P09-1053	9738	8
W09-2813	9738	8
W08-0321	9898	8
W08-0509	9898	8
P08-2020	9899	8
C98-1072	9905	8
D09-1023	9925	8
E09-1037	9925	8
W08-0302	9925	8
W00-0405	9952	8
X98-1025	9952	8
W08-0324	10010	8
W09-0408	10010	8
W09-0425	10010	8
W09-2301	10010	8
W08-0324	10083	8
P08-4007	10182	8
I08-1035	10271	8
W09-2813	10271	8
P08-5002	10290	8
L08-1102	10570	8
W08-0324	10689	8
W08-0411	10689	8
W09-0425	10689	8
W08-0910	10726	8
W09-2106	10726	8
D08-1099	10915	8
L08-1167	11275	8
N09-1054	11275	8
A97-1046	11301	8
P96-1003	11301	8
W08-0910	11318	8
W09-2201	11419	8
W09-2201	11466	8
P09-1072	11481	8
P09-1072	11496	8
N09-2037	11696	8
P09-2026	11696	8
W09-0408	11727	8
N09-2038	11749	8
P09-1072	11799	8
P80-1043	11799	8
N09-1031	11903	8
P09-1072	12013	8
W04-3240	12013	8
W09-2201	12013	8
N09-1031	12185	8
H05-1074	12548	8
N04-1025	12548	8
N07-1058	12548	8
N07-1060	12548	8
P08-2022	12548	8
P09-1031	12548	8
W02-0708	12554	8
C96-1059	12595	8
C96-1060	12595	8
C96-1061	12595	8
P95-1005	12595	8
W96-0402	12595	8
W96-0509	12595	8
H01-1039	13209	8
H89-2044	14752	8
H90-1034	14752	8
H92-1055	14752	8
H93-1014	14752	8
H94-1066	14752	8
A97-2002	15208	8
C96-1061	15208	8
N06-2003	15208	8
N06-4001	15208	8
N09-2010	15208	8
N09-2037	15208	8
N09-5002	15208	8
P07-2019	15208	8
P08-4007	15208	8
P09-2026	15208	8
P09-2079	15208	8
P95-1005	15208	8
W04-2803	15208	8
W05-0208	15208	8
W05-1524	15208	8
W06-3407	15208	8
W06-3502	15208	8
W09-1903	15208	8
W94-0113	15208	8
W96-0509	15208	8
W97-0303	15208	8
W03-0908	15398	8
W06-0404	113	9
W06-1307	113	9
W06-1310	113	9
W06-3409	113	9
W09-0806	318	9
J05-3003	930	9
P04-1041	930	9
P04-1047	930	9
D07-1028	963	9
D07-1028	964	9
J05-3003	964	9
J08-1003	964	9
P04-1041	964	9
P04-1047	964	9
P06-1063	964	9
P06-1130	964	9
W07-1209	964	9
W09-3002	1665	9
W09-3523	1665	9
I08-6005	2232	9
W07-0911	2232	9
D07-1012	2412	9
L08-1115	2412	9
P08-2056	2412	9
W07-2204	2412	9
W09-2112	2412	9
W09-3827	2412	9
J03-3004	2846	9
C04-1154	2927	9
W05-0833	2927	9
W06-3112	2927	9
C08-1038	2973	9
D07-1027	2973	9
P07-1037	3157	9
C04-1154	3203	9
D07-1028	3368	9
I08-6005	3796	9
N06-2016	3796	9
W07-0911	3796	9
P06-1063	3825	9
W04-1711	4031	9
W04-1711	4273	9
W09-3809	4591	9
E09-1063	5037	9
P07-1039	5037	9
W08-0326	5037	9
W08-0409	5037	9
W09-3523	5828	9
I08-6005	5890	9
W07-0911	5890	9
J05-3003	6033	9
J08-1003	6033	9
P04-1041	6033	9
P04-1047	6033	9
W06-3112	6186	9
W07-0411	6186	9
W07-0714	6186	9
L08-1380	6188	9
W08-0326	6188	9
W08-0409	6188	9
D07-1066	6773	9
L08-1213	6773	9
W06-2109	6773	9
P07-1039	7832	9
W04-1711	8381	9
C98-1054	8456	9
D07-1012	8626	9
P08-2056	8626	9
W07-2204	8626	9
W09-3827	8626	9
W04-1711	8717	9
C04-1154	8751	9
C08-1139	8751	9
D09-1039	8751	9
D09-1123	8751	9
E09-1063	8751	9
J03-3004	8751	9
J05-3003	8751	9
L08-1470	8751	9
P04-1041	8751	9
P04-1047	8751	9
P07-1037	8751	9
P07-1039	8751	9
W05-0833	8751	9
W06-3112	8751	9
W07-0411	8751	9
W07-0714	8751	9
W08-0326	8751	9
W08-0409	8751	9
W09-0416	8751	9
W09-1509	8751	9
W09-3523	8751	9
I08-6005	9311	9
W07-0911	9311	9
E09-1010	9465	9
W09-3523	10011	9
L08-1470	10540	9
L08-1246	10917	9
W08-0409	11037	9
W08-0326	11086	9
C08-1139	11319	9
W09-3823	11450	9
W09-0416	11580	9
W09-3823	11684	9
W09-0416	11726	9
P09-3009	12083	9
D09-1039	12110	9
W09-0416	12110	9
W09-3523	12282	9
W09-0806	12332	9
C08-1038	12888	9
D07-1012	12888	9
D07-1027	12888	9
D07-1028	12888	9
D07-1066	12888	9
J05-3003	12888	9
L08-1115	12888	9
L08-1176	12888	9
L08-1246	12888	9
P04-1041	12888	9
P04-1047	12888	9
P08-2056	12888	9
P97-1052	12888	9
P98-1056	12888	9
W04-1711	12888	9
W06-2109	12888	9
W06-3112	12888	9
W07-0411	12888	9
W07-0714	12888	9
W07-2204	12888	9
W09-0806	12888	9
W09-3823	12888	9
L08-1176	13154	9
P06-2018	13154	9
W06-1522	14294	9
W07-2204	14294	9
I08-2077	404	10
I08-2095	404	10
I08-3012	404	10
I08-3015	404	10
I08-5002	404	10
I08-5006	404	10
I08-5008	404	10
I08-6008	404	10
I08-6011	404	10
I08-7001	404	10
P06-2025	404	10
P09-2038	404	10
W06-1908	404	10
W06-2113	404	10
W07-2043	404	10
W09-2820	404	10
W09-3411	404	10
W09-3517	404	10
W09-3539	404	10
I08-2077	2085	10
I08-5006	2085	10
I08-5008	2085	10
I08-6011	2085	10
I08-7001	2085	10
P06-2025	2085	10
W09-3517	2085	10
W09-3539	2085	10
I08-6011	5828	10
P06-2025	5828	10
W06-2113	5828	10
W07-2043	5828	10
W06-1908	6759	10
W06-1908	6762	10
I08-5006	9737	10
W09-3517	9737	10
I08-6011	9942	10
I08-2077	10011	10
I08-5006	10011	10
I08-6011	10011	10
I08-6011	10522	10
W09-3517	10522	10
I08-2095	10671	10
I08-6008	10671	10
I08-5006	10733	10
W09-3411	11391	10
P09-2038	11549	10
W09-3411	11549	10
W09-2820	11698	10
L08-1520	9055	11
E03-1010	9076	11
L08-1520	10012	11
L08-1520	10225	11
L08-1520	11271	11
W03-2107	41	12
C00-2131	257	12
I05-2025	1821	12
A83-1027	1958	12
C80-1013	1958	12
C82-1044	1958	12
C88-2102	1958	12
C88-2156	1958	12
C92-4207	1958	12
P84-1048	1958	12
P84-1049	1958	12
I05-1079	2501	12
I05-5004	2501	12
P06-2042	3064	12
I05-6004	3148	12
P06-2046	3148	12
W00-1016	3292	12
C80-1063	3315	12
C94-2175	3572	12
C92-4207	3573	12
W09-3946	3574	12
C88-2141	3576	12
W04-1305	3603	12
I05-6002	3615	12
P93-1004	3625	12
C02-1152	3645	12
C00-1063	3857	12
W97-1015	3878	12
I05-6002	3893	12
I08-2100	3893	12
W06-1302	3897	12
C00-1063	3988	12
H01-1043	3988	12
C00-1068	3989	12
C02-1152	3989	12
C04-1158	3989	12
C04-1159	3989	12
C08-2015	3989	12
H05-1126	3989	12
L08-1504	3989	12
P03-1033	3989	12
P03-2027	3989	12
P06-2042	3989	12
W03-2107	3989	12
C04-1149	4064	12
I05-2020	4064	12
W06-1703	4064	12
C02-1084	4187	12
C00-1068	4277	12
C02-1152	4277	12
C04-1158	4277	12
I08-1028	4277	12
N09-2034	4277	12
P03-1033	4277	12
P03-2027	4277	12
P09-2023	4277	12
W03-2107	4277	12
W06-1302	4277	12
W09-3946	4277	12
C80-1063	4433	12
A92-1037	4454	12
C00-1063	4454	12
C00-2131	4454	12
C08-1054	4454	12
C08-1097	4454	12
C08-1132	4454	12
C92-1029	4454	12
C94-2183	4454	12
D07-1032	4454	12
D08-1045	4454	12
D09-1151	4454	12
E09-1020	4454	12
H01-1043	4454	12
I08-1025	4454	12
I08-2080	4454	12
I08-2110	4454	12
J94-4001	4454	12
L08-1417	4454	12
N07-2051	4454	12
N09-1059	4454	12
P07-2035	4454	12
P08-2018	4454	12
P09-2013	4454	12
P99-1062	4454	12
W00-1016	4454	12
W00-1310	4454	12
W06-0123	4454	12
W09-2302	4454	12
W09-2908	4454	12
W09-3817	4454	12
W98-0605	4454	12
W98-0701	4454	12
C88-2102	4910	12
C94-2169	5285	12
C92-2088	5286	12
W06-2404	5295	12
C04-1158	5539	12
H05-1126	5539	12
P03-2027	5539	12
C80-1063	5541	12
C08-1113	5654	12
C94-1101	5654	12
C96-2202	5654	12
A92-1037	5730	12
C96-2134	5734	12
W98-0605	5734	12
C88-2141	5750	12
A92-1037	5765	12
