Hathaway, Chris 2.5477665323536e-05
GÛmez-RodrÌguez, Carlos 1.98712782087118e-05
Saon, G. 1.98712782087118e-05
Huang, Xuanjing 2.17383434762992e-05
Bratt, Harry 0.000178322350856509
McClain, Jonathan T. 2.16622924526368e-05
Wiren, Mats 0.00013119175483686
Tarnikova, Yuliya 1.98712782087118e-05
Fan, Weiguo 1.98904791273072e-05
Betancourt, T. 3.60863973175491e-05
Miller, John E. 3.14880006631971e-05
Pilon, Sulene 2.42491779175343e-05
Perez, Fernando Saenz 1.98712782087118e-05
De Felice, Rachele 3.65444790851184e-05
Ando, Rie Kubota 0.000244678129927962
Lenke, Nils 4.61450190462003e-05
Lehal, Gurpreet Singh 1.98712782087118e-05
Tutiya, S. 2.09341721176378e-05
Balasubramanian, Vijay 0.000113237898827196
Tardiff, Seth 1.98712782087118e-05
Jones, Rosie 6.54917516695998e-05
Gurevich, Olga 1.98712782087118e-05
Roth, Steven F. 0.00025492836269099
Bainbridge, R. I. 1.98712782087118e-05
Huang, HaiXiang 1.98712782087118e-05
Church, Kenneth Ward 0.00863316368396348
ValentÌn, Oriol 1.98712782087118e-05
Prithviraj, Preethum 4.46765589563614e-05
Pan, Yi 3.12175995052947e-05
Zhang, Jianping 9.4773291831426e-05
Bloedorn, Eric 0.000233846207669669
Cyrus, Lea 1.98712782087118e-05
Hussmann, Michael J. 1.98712782087118e-05
Aparicio, Juan 1.98712782087118e-05
Herring, Joshua 1.98712782087118e-05
Kountz, Manuel 1.98712782087118e-05
Busemann, Stephan 0.000267169315905914
Pau, Michael 1.98712782087118e-05
MuÒoz, Rafael 1.98712782087118e-05
Maeda, Hiroyuki 5.74766137078993e-05
El-BËze, Marc 2.14655065612844e-05
Spooren, Wilbert 2.04492920684961e-05
Kesseler, Marcus 4.79689341748656e-05
Davidson, Duncan 3.31428768737708e-05
Goldstein-Stewart, Jade 1.98712782087118e-05
Moon, Kyonghi 2.1802502212585e-05
Maiorano, Steven J. 0.000451167106129425
Ritchie, Anna 5.47970959036634e-05
Blanchon, Herve 7.55422616736532e-05
Miller, Keith 6.06344681064364e-05
Decary, Michel 3.12966354830368e-05
Artemieff, Suzanne 3.39909917749356e-05
Pinto, Hugo 1.98712782087118e-05
Su, Jian 0.000452861915313187
Berthouzoz, Cathy 7.43995492984622e-05
Luo, Airong 5.29337574500617e-05
Gotti, Fabrizio 5.8031617157228e-05
Yona, Shlomo 3.09127466550741e-05
Macken, Lieve 1.98712782087118e-05
Martin, James H. 0.000784551645454373
Isabelle, Pierre 0.000564144941793995
Li, Xiaohong 1.98712782087118e-05
Ferguson, William 9.29350661058224e-05
Ayuso, Damaris M. 0.00179776302376224
Bickmore, Timothy W. 5.58480704139885e-05
Yasuda, Norihito 1.98712782087118e-05
Peckham, Jeremy 2.53273859321754e-05
Frampton, Matthew 3.50633799012347e-05
Nath, Joydeep 1.98712782087118e-05
Paraboni, Ivandre 1.98712782087118e-05
Clark, Stephen 0.000719783718001914
Gomez Hidalgo, Jose M. 4.23505621930057e-05
Li, Sheng 3.97120393087257e-05
Park, Hunil 1.98904791273072e-05
Gibb, Darl 6.97382883035796e-05
Sigurd, Bengt 3.03642600738787e-05
Maruyama, Hiroshi 0.000274373534173366
Ruch, Patrick 4.26734455107735e-05
Schmid, Helmut 0.000395953801154204
Ahrens, Kathleen 1.98712782087118e-05
Naoyuki, Sakurai 2.54098650956678e-05
Zimak, Dav 0.000215830233180073
Slator, Brian M. 0.000121316138126148
Goyal, Ishaan 3.86765442837697e-05
Pan, Feng 4.79529060187941e-05
Weller, Marion 1.98712782087118e-05
Giesbrecht, Eugenie 3.35423622142405e-05
Nasukawa, Tetsuya 9.79008921296436e-05
Lang, Francois-Michel 0.000122417469453744
Erell, Adoram 6.06738644942024e-05
Debole, Franca 1.98712782087118e-05
Domingo, Judith 1.98712782087118e-05
Giangrandi, Paolo 4.61904191989258e-05
Abramson, Harvey 3.29975538111646e-05
Kukich, Karen 0.000470816096673418
Li, Xiaoge 2.75633265186454e-05
Fonollosa, JosÈ A. R. 9.55190389806894e-05
Gates, Donna M. 0.000225998769990466
Craig, Matthew 1.98712782087118e-05
Li, Wenbo 1.98712782087118e-05
Su, I-Li 1.98712782087118e-05
Isotani, Ryosuke 1.98712782087118e-05
Moortgat, M. 1.98712782087118e-05
Denis, Alexandre 1.98712782087118e-05
Ericsson, Stina 4.74443079946396e-05
Joseph, Brian 1.98712782087118e-05
Caseiro, Diamantino 1.98712782087118e-05
O'Shaughnessy, Douglas D. 0.000121011260880997
Frassica, Anne-Marie 1.98712782087118e-05
Baert, E. 1.98712782087118e-05
Appelt, Douglas E. 0.00151916145328155
Lopresti, Daniel 1.98712782087118e-05
Zaidel, Martin 0.000390419681545151
Kate, Rohit J. 3.98397272697252e-05
Nishimura, Masafumi 2.33803206866565e-05
Cruz, Isabel 1.98712782087118e-05
Precoda, Kristin 2.36988786491404e-05
Micol, Daniel 1.98712782087118e-05
Fuji, Masaru 1.98712782087118e-05
Haigh, Robin 2.55717937647653e-05
Teo, Leong Hwee 4.23143385970578e-05
Kunze, Jurgen 8.05379337460228e-05
Knoll, Sonja 2.25345557591049e-05
Tripasai, Woottiporn 2.37145425327871e-05
Holt, Alexander 4.41744111349526e-05
Dalsem III, Vol Van 1.98712782087118e-05
Rychly, Pavel 2.25040899064033e-05
Zhu, Danqing 1.98712782087118e-05
Fischer, Ingrid 1.98712782087118e-05
Cheng, Xue-Qi 0.000146331852421917
Park, Hyun Seok 8.39435254759585e-05
Oberlander, Jon 0.000278660284246031
Blouin, Christian 1.98712782087118e-05
Asterias, Jordi 1.98712782087118e-05
Yu, Shihong 4.92464511624079e-05
Ogiso, Toshinobu 1.98712782087118e-05
Kukina, Olga 1.98904791273072e-05
Picard, Justin 2.196657845043e-05
Schubert, Volker 2.45583321825236e-05
Spreyer, Kathrin 3.88004582989194e-05
Shirai, Satoshi 0.000193642950645434
Rosner, Dietmar 7.99432663677419e-05
Nomura, Naoyuki 3.90012645489325e-05
Frid, Nadezhda 5.57750564055198e-05
Noord, Gertjan Van 1.98712782087118e-05
Thayer, Ignacio 0.000265500149450317
Barbu Mititelu, Verginica 5.65160362920594e-05
Haruno, Masahiko 0.000179046653381217
Marcu, Daniel 0.0024904354607162
Simons, Gary 7.06021075887172e-05
Lee, Insup 1.98712782087118e-05
McCalla, Gordon I. 5.35003794839597e-05
Modina, Larisa S. 0.000122114446859745
Thomas, Matt 8.34235690423497e-05
Baldridge, Jason 0.000186524763433203
Stolfo, Salvatore J. 1.98712782087118e-05
Tummala, Dinesh 4.77057428406531e-05
Niu, Cheng 0.000111093309748143
Kaji, Yuichi 1.98712782087118e-05
Kareem, Omer 1.98712782087118e-05
Toyama, Katsuhiko 2.14387559643063e-05
Busa, Federica 3.2658735244177e-05
Mowery, Danielle 1.98712782087118e-05
Daille, B√©atrice 1.98712782087118e-05
Weide, Robert 0.00013328521831153
Maamouri, Mohamed 4.06959187774872e-05
Tavernier, Jean 1.98712782087118e-05
Drozdzynski, Witold 1.98712782087118e-05
Pogodalla, Sylvain 3.14666651705375e-05
Foret, Annie 3.6633680142457e-05
Hashimoto, Chikara 3.87017629743391e-05
Mukherjee, Animesh 2.40387846187638e-05
Whitman, Brian 1.98712782087118e-05
Silber, H. Gregory 0.000232894635190643
Callan, James P. 9.90489349555848e-05
Kwan, Jennifer Lai Pheng 5.85736752604378e-05
Legendre, Vincent 3.31270930162755e-05
Thitima, Jamjanya 1.98712782087118e-05
Jiampojamarn, Sittichai 3.10835227299942e-05
Xu, Weiqun 1.98712782087118e-05
Nomoto, Tadashi 0.000177999189781546
Santos, Claudia 1.98904791273072e-05
Oda, Hiroki 1.98712782087118e-05
Corbin, Harold 2.08025227605865e-05
Fourla, Athanassia 1.98712782087118e-05
Hajicov·, Eva 0.000219142994478805
Ohara, Kyoko 1.98712782087118e-05
Mucha, Basia 3.17044563208462e-05
Lukaszewicz, Witold 2.24381822631751e-05
Lu, Dajin 1.98712782087118e-05
Shende, Sunil 1.98712782087118e-05
Yeung, D. 1.98712782087118e-05
Dowling, John 3.28760037243129e-05
Lim, Dong-Hee 2.15457322043001e-05
Mather, Laura A. 8.67192509398405e-05
Gao, Feng 1.98712782087118e-05
Karlin, Robin F. 3.25204685286189e-05
Yu, Hong 0.000227048087891651
Chodorow, Martin S. 0.00157333155626534
Takashima, Yosuke 4.76470514795707e-05
Fan, Adrian T. 2.17443873453736e-05
Harrington, Jonathan 6.24607968162199e-05
Gispert, Adri‡ de 2.23658101059485e-05
Yooseph, Shibu 2.87413387694297e-05
Gegg-Harrison, Whitney 3.22954249914236e-05
Baudis, Manja 1.98712782087118e-05
Brzoska, Christoph 1.98712782087118e-05
Divay, Olivier 1.98712782087118e-05
Hardcastle, David 2.21217846347973e-05
Morley, Rebecca 1.98712782087118e-05
Mettler, Mael 1.98712782087118e-05
Crookston, Ian 1.98712782087118e-05
Kang, Sin-Jae 2.41252088099377e-05
Jiang, Jianmin 2.30373991566209e-05
Moghrabi, Chadia 1.98712782087118e-05
Arez, Pedro 1.98712782087118e-05
Schmidt, Charles F. 3.95778805449976e-05
Okunishi, Toshiyuki 1.98712782087118e-05
Ochitani, Ryo 0.000114532177561848
Guan, Gang 1.98712782087118e-05
Duan, Huizhong 1.98712782087118e-05
Zhang, Jian 2.7746742779972e-05
Cole, Ronald A. 0.000103406282423238
Woods, William A. 0.000529622362261055
Allen, Eileen E. 1.98712782087118e-05
Nakazawa, Tsuneko 4.00446076747565e-05
Kim, Hyeon-Jin 1.98904791273072e-05
Frid, Nadya 1.98712782087118e-05
Maxwell, Edward 6.95178743644802e-05
Lavrenko, Victor 2.09358842710552e-05
Baldewein, Ulrike 4.91648081740871e-05
Salvati, Sylvain 1.98712782087118e-05
Gibson, John 1.98712782087118e-05
Li, Hui-Feng 1.98712782087118e-05
Palmucci, Jeff 0.00120539650312841
Yamane, Masaya 6.41099440093969e-05
Doi, Tsunehisa 1.98712782087118e-05
Lebeth, Kai 1.98712782087118e-05
Maslennikov, Mstislav 2.08362069334948e-05
Sheinman, Vera 1.98712782087118e-05
Nguy·ªÖn, C·∫©m T√∫ 1.98712782087118e-05
Olney, Andrew 2.60262589624282e-05
Nedobejkine, Nicolas 0.000385458679382131
Li, Huifeng 7.14692915203682e-05
Kahn, Jeremy G. 7.33667159068946e-05
Raskutti, Bhavani 5.81225728716988e-05
Pineau, Joelle 6.94302340191251e-05
Ohnishi, Noboru 1.98712782087118e-05
Ravindran, B. 1.98712782087118e-05
Nishikimi, Mikiko 2.65762389822099e-05
Clancey, William J. 1.98904791273072e-05
Holmqvist, Maria 3.18771838419958e-05
Shim, Leem Seop 2.15475184020863e-05
Srichaivattana, Prapass 1.98712782087118e-05
Aizawa, Teruaki 4.03843020445087e-05
Cloete, Ian 5.33776614616617e-05
Leistensnider, James 2.35951672801983e-05
Doshita, Shuji 0.000105470823191149
Kim, Jung-Jae 3.59171872542938e-05
Kaouane, Linda 1.98712782087118e-05
Gao, Yuqing 2.1689762449787e-05
Ponte, Jay 1.98712782087118e-05
Dilts, Philip 1.98712782087118e-05
Fortmann, Christian 1.98712782087118e-05
Chester, Daniel 0.000241494296068754
Naumann, Karin 2.32037881196762e-05
Lee, Haejoong 4.12407556554146e-05
Berland, Matthew 0.000253411536632838
Wu, Cathy 1.98712782087118e-05
S·nchez, Joan Andreu 1.98712782087118e-05
DeRoeck, Anne 1.98712782087118e-05
Segura Bedmar, Isabel 2.08800492045601e-05
Hansen, John P. 6.11112795136873e-05
Councill, Isaac 1.98712782087118e-05
Mingli, Wu 1.98712782087118e-05
Mital, Manav Ratan 1.98712782087118e-05
Sato, Hiroaki 2.99197255161114e-05
Uria, Larraitz 1.98712782087118e-05
Bourguignon, C. 1.98712782087118e-05
Koyama, Takahiro 5.85492297272226e-05
Sakai, S. 1.98712782087118e-05
Gamper, Johann 1.98712782087118e-05
Tashiro, Toshihisa 1.98712782087118e-05
Fong, Cynthia 4.82392096693195e-05
Dai, Dawei 3.56550585312925e-05
Park, Sangkyu 1.98712782087118e-05
De Pauw, Guy 2.09433638156173e-05
Lai, Yu-Tso 4.20017234414381e-05
Sugie, Noboru 1.98712782087118e-05
Verberne, Suzan 2.15872415788101e-05
Sorensen, Finn 3.09971785167453e-05
Scattone, Francesco 0.000114519398538035
Scott, Donia R. 0.000317904019527382
Picca, Davide 1.98712782087118e-05
Liekens, Anthony 1.98712782087118e-05
Wang, Hui 2.13288783768636e-05
Sugimoto, Masakatsu 4.02023892377756e-05
Bertoldi, Nicola 0.000280117890554622
Yencken, Lars 1.98712782087118e-05
Reddig, Carola 6.27098507657947e-05
George, Sarah 2.98339436584213e-05
Taylor, Paul 0.000218669552101787
Attardi, Giuseppe 6.14806915263311e-05
Xia, Lei 1.98712782087118e-05
Kit, Chunyu 6.29678957278513e-05
Simi, Maria 4.33670055517525e-05
Casper, Mark 4.46731943884686e-05
Tanaka-Ishii, Kumiko 8.62506329433832e-05
Tuttle, Mark S. 0.000156195503076757
Zitouni, Imed 0.000105650581599597
Cock, Martine De 1.98712782087118e-05
Kurz, Daniela 2.48150190079527e-05
Peshkin, Leonid 1.98712782087118e-05
Madkour, Amgad 2.17337673124613e-05
Leveling, Johannes 1.98712782087118e-05
McNeill, Fiona 2.72561665743019e-05
Isozaki, Hideki 0.000262681580443183
Karagol-Ayan, Burcu 1.98712782087118e-05
Zock, Michael 7.62072667003729e-05
Takeuchi, Jumpei 2.52134036931766e-05
Denoual, Etienne 1.98712782087118e-05
Kraif, Olivier 2.22408468673688e-05
Andrzejewski, David 2.43680598735762e-05
Haxton, Isaac 3.29150017665672e-05
Long, Derek P. 1.98712782087118e-05
Katz, Karen 0.000648553868860954
Steedman, Mark 0.00126608257415281
Shamir, Eli 3.153719186632e-05
Martin, Jeff 1.98712782087118e-05
Cartier, Emmanuel 1.98712782087118e-05
Negri, Matteo 0.000111396828576182
Jun-Sheng, Zhou 2.19176111510858e-05
Campana, Ellen 7.53775206014881e-05
De Beule, Joachim 1.98712782087118e-05
King, Irwin 1.98712782087118e-05
Perez, Alicia 1.98712782087118e-05
Hu, Xinhui 1.98712782087118e-05
Somers, Harold L. 0.000215339285210032
Pao, Christine 0.000246442391394953
Bernth, Arendse 3.45997557701754e-05
Busby, George 3.60227756080769e-05
Wu, Jun 0.000378599537267192
Ding, Yung-Wei 0.000108258637267543
Mermelstein, P. 7.55229510653069e-05
Jing, Hongyan 0.00102683940374996
Dickerson, Bob 4.38209195852891e-05
Wolska, Magdalena 2.85945589864475e-05
Yu, Yeong-Ho 8.10468883452113e-05
Allison, Ben 1.98712782087118e-05
Li, Shuyin 1.98712782087118e-05
Israel, David J. 0.000579992368523904
Okada, Yoshihiro 1.98712782087118e-05
Cheung, Lap 1.98712782087118e-05
Konyves-Toth, Michael 3.18816161713212e-05
Paik, Woojin 0.000219026887979752
Levin, Beth 3.80503899069262e-05
Pado, Sebastian 0.000131399257129333
Nair, Anish 4.88543403754491e-05
Hermjakob, Ulf 0.000241698745504041
Hall, Johan 0.000237064816658977
Lopez Garcia, Vanessa 1.98712782087118e-05
Kim, Sang-Bum 1.98712782087118e-05
Tait, John Irving 1.98712782087118e-05
Caruana, Joe 3.59121139568246e-05
Hwang, Chung Hee 0.000135537642017027
Aranovich, Roberto 1.98712782087118e-05
Sehitoglu, Onur T. 1.98712782087118e-05
Tantug, A. Cuneyd 1.98712782087118e-05
Piao, Scott S. L. 8.52400573876744e-05
Buchberger, Ernst 9.64966435042258e-05
Shinzato, Keiji 4.59805990642359e-05
S¯gaard, Anders 1.98712782087118e-05
Eeg-Olofsson, Mats 2.6734803972853e-05
Berwick, Robert C. 0.000963034292347502
Marcus, Shaul 0.000444313908945692
Yuan, Jinhui 1.98712782087118e-05
Appelo, Lisette 9.19159033415249e-05
Jorgensen, Joseph 2.15475184020863e-05
Okuma, Hideo 2.40860662296016e-05
Reeves, John 5.66877053663525e-05
Zhou, Xiaodong 2.50310009575726e-05
Kempen, Gerard 9.87847618000717e-05
Kubala, Francis 0.000387661256045578
Briscoe, Ted 0.00134615005273368
Meurers, Detmar 1.98712782087118e-05
Kalra, Virinder S. 1.98712782087118e-05
Barry, Chris 0.000266830630025385
Ilarionov, Ilarion 2.37526383445136e-05
Agirre, Eneko 0.000604514180346319
Mititelu, Verginica Barbu 1.98712782087118e-05
Noncheva, Veska 3.469720157955e-05
Zhang, Yimin 2.7931351535761e-05
Kleeman, Alex 3.06173167965677e-05
 1.98712782087118e-05
Melnar, Lynette 1.98712782087118e-05
Erdenebat, Dashtseren 1.98712782087118e-05
Matsumoto, Mitsutaka 2.41982435119673e-05
Aruga, Norikazu 2.5862679145917e-05
Freiling, Michael J. 7.6094503164098e-05
Solorio, Thamar 2.82188154854441e-05
Acero, Alex (Alejandro) 0.000294026059704419
Stevenson, Mark 0.000395437722687821
Lopatkova, Marketa 2.92776196310332e-05
Corio, Marc 3.58885143367631e-05
Villata, Serena 1.98712782087118e-05
Westbrook, David 6.53816608267973e-05
Yeh, Jui-Feng 3.04297046857153e-05
Wiese, Richard 3.14050388757967e-05
Pittman, James A. 9.16638061709502e-05
Phillips, William 4.48821839503643e-05
Maeireizo, Beatriz 3.58449418488e-05
Purwarianti, Ayu 1.98712782087118e-05
Ding, Wei 2.7931351535761e-05
Yung, Lisa 2.19476203485969e-05
Chiang, Tung-Hui 0.000159161566234689
Chan, Daniel Ka-Leung 1.98712782087118e-05
Phillips, Robert 1.98712782087118e-05
Lau, Raymond 0.000247787202725562
Nikoulina, Vassilina 1.98712782087118e-05
The LOLITA Group 5.71643631564716e-05
Furui, Sadaoki 2.35055312033906e-05
Brady, Deborah 2.54576563839478e-05
Derwojedowa, Magdalena 1.98712782087118e-05
Harrison, Shelly P. 2.67994728724829e-05
Itoh, Yukihiro 0.000106832512931838
Choi, Jeung-Yoon 2.24835631844282e-05
Sorensen, Jeffrey S. 0.000343255559837874
Sini, Margherita 1.98712782087118e-05
Miclet, Laurent 1.98712782087118e-05
Carmona, Josep 5.09186576314132e-05
Ranaivo-Malancon, Bali 1.98712782087118e-05
Pietsch, Christian 1.98712782087118e-05
Seo, Hee-Cheol 1.98712782087118e-05
Cho, Yongjoo 1.98712782087118e-05
Kolak, Okan 0.000109486112800943
King, James 1.98712782087118e-05
Aldaz Salmon, Javier A. 1.98712782087118e-05
Shaumyan, Olga 3.94348408331711e-05
Parvaz, Dan 1.98712782087118e-05
Aranzabe, Maxux J. 2.19933614968262e-05
Liu, Zhu 1.98712782087118e-05
DeCristofaro, Jonathan D. 4.9370148063087e-05
Padmanabhan, Mukund 3.1245201545645e-05
Block, Russell 2.3100164725453e-05
Rubin, Victoria L. 1.98712782087118e-05
Petterstedt, Michael 2.33757758256462e-05
Baker, Steven 0.000150674542610687
Whittaker, Steve 0.000866949161528353
Fertig, Scott 0.000104142610637698
Craven, Mark 1.98712782087118e-05
Bronnenberg, W. J. 1.98712782087118e-05
Leech, Fanny 0.000101400179720175
Bolshakov, Igor A. 1.98712782087118e-05
Richter, Matthias 1.98712782087118e-05
Ye, Yang 4.93571529990708e-05
Staab, Steffen 2.97925173214204e-05
Chagoyen, Monica 1.98712782087118e-05
Arriola, Jose Maria 8.61169804805706e-05
Carenini, Giuseppe 0.000326907468526726
Iria, JosÈ 1.98712782087118e-05
Heylen, Dirk 2.07332188467968e-05
Tsai, Wang-Ju 4.76938054673562e-05
Chafe, Wallace L. 0.000186466448084853
Li, Fangtao 1.98712782087118e-05
Chan, Erwin 1.98712782087118e-05
Rupp, C.J. 1.98712782087118e-05
Miller, Dale A. 0.000110274954347544
Goodine, David 0.000273656426287881
Lee, Sang-Zoo 8.47904913345073e-05
Liu, Jingjing 1.98712782087118e-05
Kim, Su Nam 4.90238364012875e-05
Li, Jiang 1.98712782087118e-05
Belvin, Robert S. 5.80896460193762e-05
Goldman, Seth R. 0.000164585495524835
Storrer, Angelika 1.98712782087118e-05
Swier, Robert 4.82028595132795e-05
Yeates Sedelow, Sally 3.76569496536326e-05
Serban, Gabriela 1.98712782087118e-05
Rawding, Matt 1.98712782087118e-05
Gaustad, Tanja 3.22010149110391e-05
Barwise, Jon 2.54587455199602e-05
Penas, Anselmo 6.87595464432656e-05
Fang, Haw-Ren 2.37742230974516e-05
Cooper, Robin 7.58842166788468e-05
An, Joohui 2.10974042831214e-05
Winkelmann, Gunter 2.54655678243695e-05
Webber, Bonnie Lynn 0.00108690122037617
Dolan, Charles P. 0.000151881937609274
Krapcho, Frank 1.98712782087118e-05
